Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,2_Merkmal_Code,2_Merkmal_Label,2_Auspraegung_Code,2_Auspraegung_Label,ANL007__Abfallentsorgungsanlagen__Anzahl,ABF001__Input_von_Abfallentsorgungsanlagen__1000_t,ABF002__Im_eigenen_Betrieb_erzeugte_Abfaelle__1000_t,ABF003__Aus_dem_Inland_angelieferter_Abfall__1000_t,ABF004__Aus_dem_Ausland_angelieferter_Abfall__1000_t,ANL008__Abfallentsorgungsanlagen_mit_Output__Anzahl,ABF005__Output_von_Abfallentsorgungsanlagen__1000_t,ABF006__Abfaelle_zur_Beseitigung__1000_t,ABF007__Abfaelle_zur_Verwertung__1000_t,ABF015__Abfaelle_zu_vorbereitenden_Verfahren__1000_t,ABG004__Abgabe_an_Sonstige__1000_t
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,04,Bremen,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,6,195.6,-,195.6,-,x,198.2,-,104.4,-,93.8
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,04,Bremen,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,04,Bremen,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,04,Bremen,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,04,Bremen,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,04,Bremen,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,2,284.8,284.8,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,5,1038.9,-,969.8,69.0,x,290.8,86.8,120.0,-,84.0
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,3,0.6,0.4,0.2,-,x,.,.,.,-,.
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,3,238.7,184.4,54.2,-,x,239.2,116.7,122.4,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,12,6.8,-,6.5,0.3,x,6.4,0.1,6.3,-,0.0
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,16,888.0,12.0,874.1,1.9,x,898.3,77.9,636.1,-,184.4
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,02,Hamburg,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,33,1373.4,210.6,1111.4,51.5,x,5.3,1.5,3.7,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,8,1639.6,247.1,1388.0,4.5,x,427.0,37.1,389.9,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,71,1692.6,73.0,1600.9,18.7,x,430.2,88.8,341.4,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,1,.,.,.,.,x,.,.,.,-,.
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,74,53.2,-,53.1,0.1,x,49.1,0.0,47.5,-,1.5
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,06,Hessen,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,-,-,-,-,-,-,-,-,-,-,-
