Jahr;AGS;Name;Viehbestand 2016
01.03.2016;8435;      Bodenseekreis, Landkreis;20964
01.03.2016;8436;      Ravensburg, Landkreis;122051
01.03.2016;8437;      Sigmaringen, Landkreis;40476
01.03.2016;9;  Bayern;2818180
01.03.2016;91;    Oberbayern, Regierungsbezirk;777098
01.03.2016;9161;      Ingolstadt;1661
01.03.2016;9162;      M�nchen, Landeshauptstadt;1171
01.03.2016;9163;      Rosenheim;2776
01.03.2016;9171;      Alt�tting, Landkreis;37014
01.03.2016;9172;      Berchtesgadener Land, Landkreis;26752
01.03.2016;9173;      Bad T�lz-Wolfratshausen, Landkreis;35490
01.03.2016;9174;      Dachau, Landkreis;28038
01.03.2016;9175;      Ebersberg, Landkreis;32695
01.03.2016;9176;      Eichst�tt, Landkreis;21816
01.03.2016;9177;      Erding, Landkreis;71231
01.03.2016;9178;      Freising, Landkreis;25481
01.03.2016;9179;      F�rstenfeldbruck, Landkreis;14067
01.03.2016;9180;      Garmisch-Partenkirchen, Landkreis;14757
01.03.2016;9181;      Landsberg am Lech, Landkreis;33913
01.03.2016;9182;      Miesbach, Landkreis;30410
01.03.2016;9183;      M�hldorf a.Inn, Landkreis;71006
01.03.2016;9184;      M�nchen, Landkreis;7142
01.03.2016;9185;      Neuburg-Schrobenhausen, Landkreis;23382
01.03.2016;9186;      Pfaffenhofen a.d.Ilm, Landkreis;20084
01.03.2016;9187;      Rosenheim, Landkreis;111140
01.03.2016;9188;      Starnberg, Landkreis;10657
01.03.2016;9189;      Traunstein, Landkreis;93380
01.03.2016;9190;      Weilheim-Schongau, Landkreis;63034
01.03.2016;92;    Niederbayern, Regierungsbezirk;483196
01.03.2016;9261;      Landshut;1827
01.03.2016;9262;      Passau;1108
01.03.2016;9263;      Straubing;351
01.03.2016;9271;      Deggendorf, Landkreis;27450
01.03.2016;9272;      Freyung-Grafenau, Landkreis;31341
01.03.2016;9273;      Kelheim, Landkreis;23476
01.03.2016;9274;      Landshut, Landkreis;99038
01.03.2016;9275;      Passau, Landkreis;98480
01.03.2016;9276;      Regen, Landkreis;30289
01.03.2016;9277;      Rottal-Inn, Landkreis;94870
01.03.2016;9278;      Straubing-Bogen, Landkreis;38175
01.03.2016;9279;      Dingolfing-Landau, Landkreis;36791
01.03.2016;93;    Oberpfalz, Regierungsbezirk;363816
01.03.2016;9361;      Amberg;1874
01.03.2016;9362;      Regensburg;147
01.03.2016;9363;      Weiden i.d.OPf.;2647
01.03.2016;9371;      Amberg-Sulzbach, Landkreis;44586
01.03.2016;9372;      Cham, Landkreis;81014
01.03.2016;9373;      Neumarkt i.d.OPf., Landkreis;42201
01.03.2016;9374;      Neustadt a.d.Waldnaab, Landkreis;50057
01.03.2016;9375;      Regensburg, Landkreis;39116
01.03.2016;9376;      Schwandorf, Landkreis;56937
01.03.2016;9377;      Tirschenreuth, Landkreis;45237
01.03.2016;94;    Oberfranken, Regierungsbezirk;201090
01.03.2016;9461;      Bamberg;103
01.03.2016;9462;      Bayreuth;2693
01.03.2016;9463;      Coburg;782
01.03.2016;9464;      Hof;1926
01.03.2016;9471;      Bamberg, Landkreis;22413
01.03.2016;9472;      Bayreuth, Landkreis;42409
01.03.2016;9473;      Coburg, Landkreis;24081
01.03.2016;9474;      Forchheim, Landkreis;12240
01.03.2016;9475;      Hof, Landkreis;36470
01.03.2016;9476;      Kronach, Landkreis;9426
01.03.2016;9477;      Kulmbach, Landkreis;20009
01.03.2016;9478;      Lichtenfels, Landkreis;12086
01.03.2016;9479;      Wunsiedel i.Fichtelgebirge, Landkreis;16451
01.03.2016;95;    Mittelfranken, Regierungsbezirk;279407
01.03.2016;9561;      Ansbach;3276
