AGS;Name;Landwirtschaftlich genutzte Flaeche 2016
8336;      L�rrach, Landkreis;23158
8337;      Waldshut, Landkreis;38026
84;    T�bingen, Regierungsbezirk;427608
8415;      Reutlingen, Landkreis;43570
8416;      T�bingen, Landkreis;20159
8417;      Zollernalbkreis, Landkreis;34687
8421;      Ulm, Stadtkreis;4646
8425;      Alb-Donau-Kreis, Landkreis;74525
8426;      Biberach, Landkreis;75677
8435;      Bodenseekreis, Landkreis;33530
8436;      Ravensburg, Landkreis;86042
8437;      Sigmaringen, Landkreis;54773
9;  Bayern;3125366
91;    Oberbayern, Regierungsbezirk;750543
9161;      Ingolstadt;6840
9162;      M�nchen, Landeshauptstadt;6092
9163;      Rosenheim;1500
9171;      Alt�tting, Landkreis;30212
9172;      Berchtesgadener Land, Landkreis;17365
9173;      Bad T�lz-Wolfratshausen, Landkreis;30578
9174;      Dachau, Landkreis;36714
9175;      Ebersberg, Landkreis;24830
9176;      Eichst�tt, Landkreis;55134
9177;      Erding, Landkreis;58798
9178;      Freising, Landkreis;46950
9179;      F�rstenfeldbruck, Landkreis;22044
9180;      Garmisch-Partenkirchen, Landkreis;15139
9181;      Landsberg am Lech, Landkreis;36371
9182;      Miesbach, Landkreis;25612
9183;      M�hldorf a.Inn, Landkreis;47844
9184;      M�nchen, Landkreis;19261
9185;      Neuburg-Schrobenhausen, Landkreis;42431
9186;      Pfaffenhofen a.d.Ilm, Landkreis;38947
9187;      Rosenheim, Landkreis;64108
9188;      Starnberg, Landkreis;13627
9189;      Traunstein, Landkreis;62367
9190;      Weilheim-Schongau, Landkreis;47779
92;    Niederbayern, Regierungsbezirk;503338
9261;      Landshut;2396
9262;      Passau;1147
9263;      Straubing;3295
9271;      Deggendorf, Landkreis;42953
9272;      Freyung-Grafenau, Landkreis;26150
9273;      Kelheim, Landkreis;45192
9274;      Landshut, Landkreis;85971
9275;      Passau, Landkreis;79987
9276;      Regen, Landkreis;22051
9277;      Rottal-Inn, Landkreis;72920
9278;      Straubing-Bogen, Landkreis;67069
9279;      Dingolfing-Landau, Landkreis;54207
93;    Oberpfalz, Regierungsbezirk;391374
9361;      Amberg;2692
9362;      Regensburg;2345
9363;      Weiden i.d.OPf.;2940
9371;      Amberg-Sulzbach, Landkreis;47322
9372;      Cham, Landkreis;62532
9373;      Neumarkt i.d.OPf., Landkreis;58256
9374;      Neustadt a.d.Waldnaab, Landkreis;47127
9375;      Regensburg, Landkreis;69890
9376;      Schwandorf, Landkreis;56171
9377;      Tirschenreuth, Landkreis;42099
94;    Oberfranken, Regierungsbezirk;298469
9461;      Bamberg;484
9462;      Bayreuth;3293
9463;      Coburg;1104
9464;      Hof;2620
9471;      Bamberg, Landkreis;48471
9472;      Bayreuth, Landkreis;48129
9473;      Coburg, Landkreis;32713
9474;      Forchheim, Landkreis;25243
9475;      Hof, Landkreis;45477
9476;      Kronach, Landkreis;16650
9477;      Kulmbach, Landkreis;29703
9478;      Lichtenfels, Landkreis;21878
9479;      Wunsiedel i.Fichtelgebirge, Landkreis;22702
95;    Mittelfranken, Regierungsbezirk;327492
9561;      Ansbach;4139
9562;      Erlangen;2570
9563;      F�rth;2138
9564;      N�rnberg;3215
9565;      Schwabach;990
9571;      Ansbach, Landkreis;108450
9572;      Erlangen-H�chstadt, Landkreis;18867
9573;      F�rth, Landkreis;15737
9574;      N�rnberger Land, Landkreis;22576
9575;      Neustadt a.d.Aisch-Bad Windsheim, Landkreis;68658
9576;      Roth, Landkreis;32867
9577;      Wei�enburg-Gunzenhausen, Landkreis;47286
96;    Unterfranken, Regierungsbezirk;350072
9661;      Aschaffenburg;960
9662;      Schweinfurt;406
9663;      W�rzburg;2170
9671;      Aschaffenburg, Landkreis;14824
9672;      Bad Kissingen, Landkreis;37998
9673;      Rh�n-Grabfeld, Landkreis;50279
9674;      Ha�berge, Landkreis;42098
9675;      Kitzingen, Landkreis;40220
9676;      Miltenberg, Landkreis;17735
9677;      Main-Spessart, Landkreis;38319
9678;      Schweinfurt, Landkreis;46148
9679;      W�rzburg, Landkreis;58916
97;    Schwaben, Regierungsbezirk;504078
9761;      Augsburg;2699
9762;      Kaufbeuren;1024
9763;      Kempten (Allg�u);3420
9764;      Memmingen;2614
9771;      Aichach-Friedberg, Landkreis;46371
9772;      Augsburg, Landkreis;50805
9773;      Dillingen a.d.Donau, Landkreis;45258
9774;      G�nzburg, Landkreis;37798
9775;      Neu-Ulm, Landkreis;22422
9776;      Lindau (Bodensee), Landkreis;17068
9777;      Ostallg�u, Landkreis;73096
9778;      Unterallg�u, Landkreis;71316
9779;      Donau-Ries, Landkreis;72627
9780;      Oberallg�u, Landkreis;57560
10;  Saarland;77755
10041;      Saarbr�cken, Regionalverband;6436
10041100;      Saarbr�cken, Landeshauptstadt;.
10042;      Merzig-Wadern, Landkreis;19028
10043;      Neunkirchen, Landkreis;7520
10044;      Saarlouis, Landkreis;15722
10045;      Saarpfalz-Kreis;13725
10046;      St. Wendel, Landkreis;15324
11;  Berlin;1845
11001001;      Berlin-Mitte;-
11002002;      Berlin-Friedrichshain-Kreuzberg;-
11003003;      Berlin-Pankow;-
11004004;      Berlin-Charlottenburg-Wilmersdorf;-
11005005;      Berlin-Spandau;-
11006006;      Berlin-Steglitz-Zehlendorf;-
11007007;      Berlin-Tempelhof-Sch�neberg;-
11008008;      Berlin-Neuk�lln;-
11009009;      Berlin-Treptow-K�penick;-
11010010;      Berlin-Marzahn-Hellersdorf;-
11011011;      Berlin-Lichtenberg;-
11012012;      Berlin-Reinickendorf;-
12;  Brandenburg;1315469
12051;      Brandenburg an der Havel, kreisfreie Stadt;3831
12052;      Cottbus, kreisfreie Stadt;4801
12053;      Frankfurt (Oder), kreisfreie Stadt;6426
12054;      Potsdam, kreisfreie Stadt;4758
12060;      Barnim, Landkreis;49686
12061;      Dahme-Spreewald, Landkreis;71835
12062;      Elbe-Elster, Landkreis;89688
12063;      Havelland, Landkreis;87966
12064;      M�rkisch-Oderland, Landkreis;126305
12065;      Oberhavel, Landkreis;67419
12066;      Oberspreewald-Lausitz, Landkreis;37337
12067;      Oder-Spree, Landkreis;77847
12068;      Ostprignitz-Ruppin, Landkreis;126161
12069;      Potsdam-Mittelmark, Landkreis;106167
12070;      Prignitz, Landkreis;137037
12071;      Spree-Nei�e, Landkreis;49533
12072;      Teltow-Fl�ming, Landkreis;91451
12073;      Uckermark, Landkreis;177219
13;  Mecklenburg-Vorpommern;1347590
13001;      Greifswald, Hansestadt,  kreisfreie Stadt;-
13002;      Neubrandenburg, Stadt,  kreisfreie Stadt;-
13003;      Rostock, Hanse- und Universit�tsstadt, kreisfreie Stadt;2387
13004;      Schwerin, Landeshauptstadt, kreisfreie Stadt;445
13005;      Stralsund, Hansestadt,  kreisfreie Stadt;-
13006;      Wismar, Hansestadt,  kreisfreie Stadt;-
13051;       Bad Doberan, Landkreis;-
13052;      Landkreis Demmin;-
13053;      G�strow, Landkreis;-
13054;      Landkreis Ludwigslust;-
13055;      Mecklenburg-Strelitz, Landkreis;-
13056;      Landkreis M�ritz;-
13057;      Nordvorpommern, Landkreis;-
13058;      Landkreis Nordwestmecklenburg;-
13059;      Ostvorpommern, Landkreis;-
13060;      Landkreis Parchim;-
13061;      R�gen, Landkreis;-
13062;      Landkreis Uecker-Randow;-
13071;      Mecklenburgische Seenplatte, Landkreis;287229
13072;      Landkreis Rostock;223131
13073;      Vorpommern-R�gen, Landkreis;202482
13074;      Landkreis Nordwestmecklenburg;139029
13075;       Vorpommern-Greifswald, Landkreis;224839
13076;      Landkreis Ludwigslust-Parchim;268048
14;  Sachsen;903514
141;    Chemnitz, Regierungsbezirk;-
14161;      Chemnitz, kreisfreie Stadt;-
14166;      Plauen, kreisfreie Stadt;-
14167;      Zwickau, kreisfreie Stadt;-
14171;      Annaberg, Landkreis;-
14173;      Chemnitzer Land, Landkreis;-
14177;      Freiberg, Landkreis;-
14178;      Vogtlandkreis;-
14181;      Mittlerer Erzgebirgskreis;-
14182;      Mittweida, Landkreis;-
14188;      Stollberg, Landkreis;-
14191;      Aue-Schwarzenberg, Landkreis;-
14193;      Zwickauer Land, Landkreis;-
142;    Dresden, Regierungsbezirk;-
14262;      Dresden, kreisfreie Stadt;-
14263;      G�rlitz, kreisfreie Stadt;-
14264;      Hoyerswerda, kreisfreie Stadt;-
14272;      Bautzen, Landkreis;-
14280;      Mei�en, Landkreis;-
14284;      Niederschlesischer Oberlausitzkreis;-
14285;      Riesa-Gro�enhain, Landkreis;-
14286;      L�bau-Zittau, Landkreis;-
14287;      S�chsische Schweiz, Landkreis;-
14290;      Wei�eritzkreis;-
14292;      Kamenz, Landkreis;-
143;    Leipzig, Regierungsbezirk;-
14365;      Leipzig, kreisfreie Stadt;-
14374;      Delitzsch, Landkreis;-
14375;      D�beln, Landkreis;-
14379;      Leipziger Land, Landkreis;-
14383;      Muldentalkreis;-
14389;      Torgau-Oschatz, Landkreis;-
145;    Chemnitz, Stat. Region;314123
14511;      Chemnitz, Stadt;7118
14521;      Erzgebirgskreis;63359
14522;      Mittelsachsen, Landkreis;137289
14523;      Vogtlandkreis;55111
14524;      Zwickau, Landkreis;51245
146;    Dresden, Stat. Region;359130
14612;      Dresden, Stadt;4704
14625;      Bautzen, Landkreis;98336
14626;      G�rlitz, Landkreis;86906
14627;      Mei�en, Landkreis;92962
14628;      S�chsische Schweiz-Osterzgebirge, Landkreis;76222
147;    Leipzig, Stat. Region;230261
14713;      Leipzig, Stadt;8744
14729;      Leipzig, Landkreis;95935
14730;      Nordsachsen, Landkreis;125582
15;  Sachsen-Anhalt;1174525
15001;      Dessau-Ro�lau, kreisfreie Stadt;6219
15002;      Halle (Saale), kreisfreie Stadt;2676
15003;      Magdeburg, kreisfreie Stadt;5392
15081;      Altmarkkreis Salzwedel;125531
15082;      Anhalt-Bitterfeld, Landkreis;89651
15083;      B�rde, Landkreis;150981
15084;      Burgenlandkreis;93584
15085;      Harz, Landkreis;103432
15086;      Jerichower Land, Landkreis;84032
15087;      Mansfeld-S�dharz, Landkreis;72557
15088;      Saalekreis;101568
15089;      Salzlandkreis;100612
15090;      Stendal, Landkreis;148390
15091;      Wittenberg, Landkreis;89900
151;    Dessau, Stat. Region;-
15101;      Dessau, kreisfreie Stadt;-
15151;      Anhalt-Zerbst, Kreis;-
15153;      Bernburg, Kreis;-
15154;      Bitterfeld, Kreis;-
15159;      K�then, Kreis;-
15171;      Wittenberg, Kreis;-
152;    Halle, Stat. Region;-
15202;      Halle (Saale), kreisfreie Stadt;-
15256;      Burgenlandkreis;-
15260;      Mansfelder Land, Kreis;-
15261;      Merseburg-Querfurt, Kreis;-
15265;      Saalkreis;-
15266;      Sangerhausen, Kreis;-
15268;      Wei�enfels, Kreis;-
