,AGS,Name,Bundesland,Landwirtschaft_Flaeche,Tierzahl_GV,GV_pro_Flaeche,agriculture_rank,agriculture_third
132,6411,Darmstadt,Hessen,1643.0,,,,
133,6412,Frankfurt am Main,Hessen,4141.0,937.0,0.22627384689688482,51.0,oberen Drittel
134,6413,Offenbach am Main,Hessen,207.0,,,,
135,6414,Wiesbaden,Hessen,5404.0,1530.0,0.28312361213915616,79.0,oberen Drittel
136,6431,Bergstraße,Hessen,23258.0,11785.0,0.5067073695072664,177.0,mittleren Drittel
137,6432,Darmstadt-Dieburg,Hessen,26080.0,11680.0,0.44785276073619634,145.0,mittleren Drittel
138,6433,Groß-Gerau,Hessen,15781.0,2706.0,0.1714720233191813,32.0,oberen Drittel
139,6434,Hochtaunuskreis,Hessen,11907.0,4183.0,0.3513059544805577,106.0,oberen Drittel
140,6435,Main-Kinzig-Kreis,Hessen,44086.0,25525.0,0.5789819897473121,217.0,mittleren Drittel
141,6436,Main-Taunus-Kreis,Hessen,7836.0,1737.0,0.22166921898928024,49.0,oberen Drittel
142,6437,Odenwaldkreis,Hessen,16431.0,16130.0,0.9816809689002495,310.0,unteren Drittel
143,6438,Offenbach,Hessen,5937.0,3400.0,0.5726798046151255,214.0,mittleren Drittel
144,6439,Rheingau-Taunus-Kreis,Hessen,20105.0,4753.0,0.23640885351902513,57.0,oberen Drittel
145,6440,Wetteraukreis,Hessen,52733.0,17902.0,0.3394838146890941,95.0,oberen Drittel
146,6531,Gießen,Hessen,34728.0,12698.0,0.36564155724487446,113.0,oberen Drittel
147,6532,Lahn-Dill-Kreis,Hessen,25408.0,10831.0,0.42628306045340053,133.0,oberen Drittel
148,6533,Limburg-Weilburg,Hessen,32130.0,13934.0,0.4336756924992219,137.0,mittleren Drittel
149,6534,Marburg-Biedenkopf,Hessen,49003.0,25011.0,0.5103973226129013,181.0,mittleren Drittel
150,6535,Vogelsbergkreis,Hessen,64264.0,44037.0,0.6852514627162953,248.0,mittleren Drittel
151,6611,Kassel,Hessen,700.0,225.0,0.32142857142857145,89.0,oberen Drittel
152,6631,Fulda,Hessen,61612.0,52100.0,0.845614490683633,286.0,unteren Drittel
153,6632,Hersfeld-Rotenburg,Hessen,35355.0,20221.0,0.5719417338424551,212.0,mittleren Drittel
154,6633,Kassel,Hessen,50326.0,23280.0,0.4625839526288598,154.0,mittleren Drittel
155,6634,Schwalm-Eder-Kreis,Hessen,69550.0,38309.0,0.5508123652048885,202.0,mittleren Drittel
156,6635,Waldeck-Frankenberg,Hessen,67763.0,51906.0,0.7659932411492998,271.0,unteren Drittel
157,6636,Werra-Meißner-Kreis,Hessen,38317.0,16448.0,0.42926116345225357,135.0,mittleren Drittel
158,7111,Koblenz,Rheinland-Pfalz,1972.0,368.0,0.18661257606490872,36.0,oberen Drittel
159,7131,Ahrweiler,Rheinland-Pfalz,18829.0,9665.0,0.513303946040682,182.0,mittleren Drittel
160,7132,Altenkirchen (Westerwald),Rheinland-Pfalz,16236.0,14350.0,0.8838383838383839,293.0,unteren Drittel
161,7133,Bad Kreuznach,Rheinland-Pfalz,32300.0,7095.0,0.2196594427244582,48.0,oberen Drittel
162,7134,Birkenfeld,Rheinland-Pfalz,20065.0,10493.0,0.5229504111637179,187.0,mittleren Drittel
163,7135,Cochem-Zell,Rheinland-Pfalz,22295.0,6144.0,0.27557748374074903,77.0,oberen Drittel
164,7137,Mayen-Koblenz,Rheinland-Pfalz,36265.0,11289.0,0.3112918792223907,85.0,oberen Drittel
165,7138,Neuwied,Rheinland-Pfalz,16287.0,11134.0,0.6836126972432001,247.0,mittleren Drittel
166,7140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,37301.0,13572.0,0.3638508350982547,112.0,oberen Drittel
167,7141,Rhein-Lahn-Kreis,Rheinland-Pfalz,26679.0,10497.0,0.39345552681884627,121.0,oberen Drittel
168,7143,Westerwaldkreis,Rheinland-Pfalz,26296.0,18362.0,0.6982811073927594,253.0,mittleren Drittel
169,7211,Trier,Rheinland-Pfalz,1860.0,507.0,0.2725806451612903,73.0,oberen Drittel
170,7231,Bernkastel-Wittlich,Rheinland-Pfalz,34098.0,18729.0,0.5492697518916065,201.0,mittleren Drittel
171,7232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,78482.0,79119.0,1.0081165107922836,312.0,unteren Drittel
172,7233,Vulkaneifel,Rheinland-Pfalz,31368.0,26570.0,0.847041571027799,287.0,unteren Drittel
173,7235,Trier-Saarburg,Rheinland-Pfalz,33289.0,16929.0,0.508546366667668,179.0,mittleren Drittel
174,7311,Frankenthal (Pfalz),Rheinland-Pfalz,2243.0,,,,
175,7312,Kaiserslautern,Rheinland-Pfalz,1183.0,296.0,0.2502113271344041,62.0,oberen Drittel
176,7313,Landau in der Pfalz,Rheinland-Pfalz,2018.0,29.0,0.014370664023785926,1.0,oberen Drittel
177,7314,Ludwigshafen am Rhein,Rheinland-Pfalz,1548.0,179.0,0.11563307493540052,21.0,oberen Drittel
178,7315,Mainz,Rheinland-Pfalz,4961.0,195.0,0.03930659141302157,6.0,oberen Drittel
179,7316,Neustadt an der Weinstraße,Rheinland-Pfalz,3330.0,299.0,0.08978978978978978,14.0,oberen Drittel
180,7317,Pirmasens,Rheinland-Pfalz,1105.0,576.0,0.5212669683257919,186.0,mittleren Drittel
181,7318,Speyer,Rheinland-Pfalz,571.0,67.0,0.11733800350262696,23.0,oberen Drittel
182,7319,Worms,Rheinland-Pfalz,7089.0,220.0,0.031033996332345888,5.0,oberen Drittel
183,7320,Zweibrücken,Rheinland-Pfalz,2999.0,1722.0,0.5741913971323774,216.0,mittleren Drittel
