,AGS,Name,Bundesland,energy_Erneuerbare_Anteil,energy_Geheim_Anteil,energy_Anteil_Erneuerbar_Bundesland,energy_rank,energy_third
116,5762,Höxter,Nordrhein-Westfalen,0.0,38.76572607922117,5.823424514576431,15.0,schlechtesten Drittel
117,5766,Lippe,Nordrhein-Westfalen,0.0,46.33405245619493,5.823424514576431,15.0,schlechtesten Drittel
118,5770,Minden-Lübbecke,Nordrhein-Westfalen,0.8891056653894394,17.98263842214113,5.823424514576431,15.0,schlechtesten Drittel
119,5774,Paderborn,Nordrhein-Westfalen,10.306722747559837,16.242836708476244,5.823424514576431,15.0,schlechtesten Drittel
120,5911,Bochum,Nordrhein-Westfalen,0.0,74.30131793220312,5.823424514576431,15.0,schlechtesten Drittel
121,5913,Dortmund,Nordrhein-Westfalen,0.0,100.0,5.823424514576431,15.0,schlechtesten Drittel
122,5914,Hagen,Nordrhein-Westfalen,0.0,2.439555735734145,5.823424514576431,15.0,schlechtesten Drittel
123,5915,Hamm,Nordrhein-Westfalen,0.0,18.51156042524972,5.823424514576431,15.0,schlechtesten Drittel
124,5916,Herne,Nordrhein-Westfalen,0.0,100.0,5.823424514576431,15.0,schlechtesten Drittel
125,5954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,0.0,5.382013529645842,5.823424514576431,15.0,schlechtesten Drittel
126,5958,Hochsauerlandkreis,Nordrhein-Westfalen,0.0,40.05015292255579,5.823424514576431,15.0,schlechtesten Drittel
127,5962,Märkischer Kreis,Nordrhein-Westfalen,0.0,17.686057898861936,5.823424514576431,15.0,schlechtesten Drittel
128,5966,Olpe,Nordrhein-Westfalen,5.8802458942063085,2.6428377107783945,5.823424514576431,15.0,schlechtesten Drittel
129,5970,Siegen-Wittgenstein,Nordrhein-Westfalen,0.1359213180783387,2.183764056412909,5.823424514576431,15.0,schlechtesten Drittel
130,5974,Soest,Nordrhein-Westfalen,9.099684559671688,0.0,5.823424514576431,15.0,schlechtesten Drittel
131,5978,Unna,Nordrhein-Westfalen,0.0,37.951560898164765,5.823424514576431,15.0,schlechtesten Drittel
132,6411,Darmstadt,Hessen,0.0,0.3252397298864632,11.01317943296178,11.0,mittleren Drittel
133,6412,Frankfurt am Main,Hessen,0.0,0.1686352231992014,11.01317943296178,11.0,mittleren Drittel
134,6413,Offenbach am Main,Hessen,0.0,2.177345006166428,11.01317943296178,11.0,mittleren Drittel
135,6414,Wiesbaden,Hessen,0.3586886257719597,16.32361331756477,11.01317943296178,11.0,mittleren Drittel
136,6431,Bergstraße,Hessen,2.799740785915218,5.099918699552173,11.01317943296178,11.0,mittleren Drittel
137,6432,Darmstadt-Dieburg,Hessen,0.0,7.297559299571741,11.01317943296178,11.0,mittleren Drittel
138,6433,Groß-Gerau,Hessen,0.0,0.0526983471991863,11.01317943296178,11.0,mittleren Drittel
139,6434,Hochtaunuskreis,Hessen,0.0,2.9001064584811926,11.01317943296178,11.0,mittleren Drittel
140,6435,Main-Kinzig-Kreis,Hessen,2.639264597091111,2.203454194617976,11.01317943296178,11.0,mittleren Drittel
141,6436,Main-Taunus-Kreis,Hessen,0.2782315566474082,0.8903409812717061,11.01317943296178,11.0,mittleren Drittel
142,6437,Odenwaldkreis,Hessen,0.0,1.084683553742278,11.01317943296178,11.0,mittleren Drittel
143,6438,Offenbach,Hessen,0.1652084999035418,0.0,11.01317943296178,11.0,mittleren Drittel
144,6439,Rheingau-Taunus-Kreis,Hessen,0.0,1.2206284851169182,11.01317943296178,11.0,mittleren Drittel
145,6440,Wetteraukreis,Hessen,0.0801726563637812,1.5927540132282525,11.01317943296178,11.0,mittleren Drittel
146,6531,Gießen,Hessen,0.4700784053440319,8.316287799345485,11.01317943296178,11.0,mittleren Drittel
147,6532,Lahn-Dill-Kreis,Hessen,0.3450913579388397,0.0,11.01317943296178,11.0,mittleren Drittel
148,6533,Limburg-Weilburg,Hessen,0.0,51.86527584253391,11.01317943296178,11.0,mittleren Drittel
149,6534,Marburg-Biedenkopf,Hessen,0.1666851995042598,0.0,11.01317943296178,11.0,mittleren Drittel
150,6535,Vogelsbergkreis,Hessen,0.0,57.10144414067037,11.01317943296178,11.0,mittleren Drittel
151,6611,Kassel,Hessen,0.0,1.8068040583515304,11.01317943296178,11.0,mittleren Drittel
152,6631,Fulda,Hessen,6.11661012110341,8.352103904762439,11.01317943296178,11.0,mittleren Drittel
153,6632,Hersfeld-Rotenburg,Hessen,0.0,86.22109831459768,11.01317943296178,11.0,mittleren Drittel
154,6633,Kassel,Hessen,0.0,23.18696285481576,11.01317943296178,11.0,mittleren Drittel
155,6634,Schwalm-Eder-Kreis,Hessen,0.0,15.378653957005618,11.01317943296178,11.0,mittleren Drittel
156,6635,Waldeck-Frankenberg,Hessen,0.0,18.123611826574475,11.01317943296178,11.0,mittleren Drittel
157,6636,Werra-Meißner-Kreis,Hessen,0.0,77.603026247263,11.01317943296178,11.0,mittleren Drittel
158,7111,Koblenz,Rheinland-Pfalz,0.0,0.7305201111810389,14.531998306057318,9.0,mittleren Drittel
159,7131,Ahrweiler,Rheinland-Pfalz,0.0,1.1478750613664763,14.531998306057318,9.0,mittleren Drittel
160,7132,Altenkirchen (Westerwald),Rheinland-Pfalz,0.0,7.834639216778612,14.531998306057318,9.0,mittleren Drittel
161,7133,Bad Kreuznach,Rheinland-Pfalz,0.0,3.696303604980044,14.531998306057318,9.0,mittleren Drittel
162,7134,Birkenfeld,Rheinland-Pfalz,2.57525862570924,11.021434070661911,14.531998306057318,9.0,mittleren Drittel
163,7135,Cochem-Zell,Rheinland-Pfalz,0.0,36.012422613455485,14.531998306057318,9.0,mittleren Drittel
164,7137,Mayen-Koblenz,Rheinland-Pfalz,0.0,72.12137846247872,14.531998306057318,9.0,mittleren Drittel
165,7138,Neuwied,Rheinland-Pfalz,0.0,32.701236785178686,14.531998306057318,9.0,mittleren Drittel
166,7140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,5.60204146758543,2.8523545322297026,14.531998306057318,9.0,mittleren Drittel
167,7141,Rhein-Lahn-Kreis,Rheinland-Pfalz,0.0,5.56393914298155,14.531998306057318,9.0,mittleren Drittel
168,7143,Westerwaldkreis,Rheinland-Pfalz,3.71270026225557,0.1712260474862593,14.531998306057318,9.0,mittleren Drittel
169,7211,Trier,Rheinland-Pfalz,0.0,1.6585947009919455,14.531998306057318,9.0,mittleren Drittel
170,7231,Bernkastel-Wittlich,Rheinland-Pfalz,0.0,12.862291016166882,14.531998306057318,9.0,mittleren Drittel
