"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE983698765225";"PV";"In Betrieb";"5/17/2016";"9/16/2020";"Solare Strahlungsenergie";"12,24";"12";"16356";"Ahrensfelde";"Sybac Solar Berlin GmbH";"ABR912187587970";"9/16/2020"
"SEE976073575458";"PV Stlzhg";"In Betrieb";"5/18/2016";"7/23/2020";"Solare Strahlungsenergie";"1,76";"1,5";"16248";"Lunow-Stolzenhagen";"(natürliche Person)";"ABR967153604311";"9/21/2020"
"SEE943374493156";"Rostocker";"In Betrieb";"5/20/2016";"12/23/2019";"Solare Strahlungsenergie";"29,76";"29,76";"16341";"Panketal";"(natürliche Person)";"ABR928350124491";"12/23/2019"
"SEE990135959000";"Dach Wohnhaus, Ost";"In Betrieb";"5/25/2016";"1/21/2020";"Solare Strahlungsenergie";"3,64";"3,5";"16321";"Bernau";"(natürliche Person)";"ABR915153511795";"5/10/2021"
"SEE939720557566";"PV Anlage";"In Betrieb";"5/30/2016";"2/17/2021";"Solare Strahlungsenergie";"7,2";"7";"16348";"Wandlitz";"(natürliche Person)";"ABR981407024489";"7/15/2021"
"SEE998608285212";"Solaranlage Dach";"In Betrieb";"6/1/2016";"1/9/2021";"Solare Strahlungsenergie";"6,24";"6,24";"16356";"Ahrensfelde";"(natürliche Person)";"ABR993216027520";"1/9/2021"
"SEE963424299989";"Photovoltaik";"In Betrieb";"6/21/2016";"12/11/2020";"Solare Strahlungsenergie";"3,57";"3";"16341";"Panketal";"(natürliche Person)";"ABR953418493776";"5/28/2021"
"SEE925450502570";"Hausdach";"In Betrieb";"6/24/2016";"8/4/2020";"Solare Strahlungsenergie";"3,57";"3,57";"16356";"Werneuchen";"(natürliche Person)";"ABR989424519537";"8/4/2020"
"SEE969748380082";"PVA AF 01";"In Betrieb";"6/27/2016";"1/31/2020";"Solare Strahlungsenergie";"9,18";"8";"16244";"Schorfheide";"Autozubehör Finowfurt GmbH";"ABR917600900206";"3/30/2020"
"SEE916173459647";"Photovoltaikanlage mit 5,22kWp";"In Betrieb";"6/27/2016";"3/19/2021";"Solare Strahlungsenergie";"5,22";"5,22";"16321";"Bernau";"(natürliche Person)";"ABR987801366415";"3/29/2021"
"SEE998259023782";"ABR";"In Betrieb";"6/28/2016";"11/3/2021";"Solare Strahlungsenergie";"9,28";"9";"16356";"Ahrensfelde";"(natürliche Person)";"ABR932693184654";"12/30/2021"
"SEE906176941539";"Hausdach";"In Betrieb";"6/29/2016";"3/26/2021";"Solare Strahlungsenergie";"5,4";"5,4";"16356";"Ahrensfelde";"(natürliche Person)";"ABR934387019686";"3/26/2021"
"SEE901255301075";"PV-Anlage";"In Betrieb";"7/1/2016";"2/17/2022";"Solare Strahlungsenergie";"5,12";"5";"16321";"Bernau";"(natürliche Person)";"ABR936713187366";"2/17/2022"
"SEE911074584214";"Hausdach";"In Betrieb";"7/4/2016";"7/7/2020";"Solare Strahlungsenergie";"4,8";"4,6";"16341";"Panketal";"(natürliche Person)";"ABR958667922343";"9/27/2020"
"SEE963928395965";"ABR921573766516";"In Betrieb";"7/6/2016";"11/29/2020";"Solare Strahlungsenergie";"6,24";"6";"16248";"Hohenfinow";"(natürliche Person)";"ABR921573766516";"11/29/2020"
"SEE992615904685";"PV-Anlage";"In Betrieb";"7/6/2016";"1/12/2021";"Solare Strahlungsenergie";"8,12";"3,7";"16356";"Ahrensfelde";"(natürliche Person)";"ABR931032926191";"1/12/2021"
"SEE945138190929";"PVA BStr. 6";"In Betrieb";"7/7/2016";"7/15/2020";"Solare Strahlungsenergie";"8,16";"8";"16244";"Schorfheide";"VS GbR Solar";"ABR947667462164";"7/15/2020"
"SEE971119046077";"Matthes";"In Betrieb";"7/8/2016";"5/7/2021";"Solare Strahlungsenergie";"3,06";"3,06";"16356";"Werneuchen";"(natürliche Person)";"ABR959496662400";"6/18/2021"
"SEE939985605798";"Hausdach";"In Betrieb";"7/13/2016";"10/28/2020";"Solare Strahlungsenergie";"6,9";"6,9";"16227";"Eberswalde";"(natürliche Person)";"ABR901755538087";"10/28/2020"
"SEE998279878003";"PVA";"In Betrieb";"7/13/2016";"3/23/2021";"Solare Strahlungsenergie";"52,2";"50";"16321";"Bernau";"Grundstücksgemeinschaft Diana und Oliver Kind";"ABR931983202108";"4/28/2021"
