"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE963012286353";"159606_HWG_Hausdach";"In Betrieb";"2/20/2020";"3/19/2020";"Solare Strahlungsenergie";"5,2";"4,6";"16356";"Werneuchen";"(natürliche Person)";"ABR987421841088";"11/4/2020"
"SEE943298543449";"Dachanlage";"In Betrieb";"2/21/2020";"7/8/2020";"Solare Strahlungsenergie";"6,6";"6,6";"16321";"Bernau";"(natürliche Person)";"ABR908842324226";"1/7/2021"
"SEE978950738154";"V-00394-A-19";"In Betrieb";"2/24/2020";"3/16/2020";"Solare Strahlungsenergie";"7,625";"5";"16341";"Panketal";"(natürliche Person)";"ABR956250882555";"3/16/2020"
"SEE981245272851";"PVA WB 1";"In Betrieb";"2/25/2020";"2/26/2020";"Solare Strahlungsenergie";"4,96";"4,2";"16244";"Schorfheide";"(natürliche Person)";"ABR967076272581";"2/26/2020"
"SEE982690889786";"Dach";"In Betrieb";"2/27/2020";"2/27/2020";"Solare Strahlungsenergie";"5,12";"4,5";"16341";"Panketal";"(natürliche Person)";"ABR964662717327";"2/27/2020"
"SEE955190445707";"Sonnenstrom in Waldheim";"In Betrieb";"2/27/2020";"3/10/2020";"Solare Strahlungsenergie";"8,375";"8,375";"16348";"Wandlitz";"(natürliche Person)";"ABR950822682147";"3/10/2020"
"SEE900350281183";"Althüttendorf Ib";"In Betrieb";"2/28/2020";"2/29/2020";"Solare Strahlungsenergie";"151,68";"151,68";"16247";"Althüttendorf";"SUNCATCHER Solaranlagen GmbH";"ABR960020755888";"1/12/2022"
"SEE904592650523";"PVA AL 1";"In Betrieb";"2/28/2020";"3/3/2020";"Solare Strahlungsenergie";"9,8";"8,5";"16230";"Chorin";"(natürliche Person)";"ABR901957321159";"3/3/2020"
"SEE965798191227";"PV3";"In Betrieb";"2/28/2020";"3/20/2020";"Solare Strahlungsenergie";"14,625";"14,625";"16348";"Wandlitz";"Potschien Energie GbR";"ABR999978186307";"5/1/2020"
"SEE913236192206";"Kleines Haus";"In Betrieb";"3/1/2020";"2/7/2021";"Solare Strahlungsenergie";"9,1";"9,1";"16359";"Biesenthal";"(natürliche Person)";"ABR961445353383";"11/6/2021"
"SEE984405296001";"SolaranlageHaus";"In Betrieb";"3/2/2020";"3/16/2021";"Solare Strahlungsenergie";"7";"7";"16341";"Panketal";"(natürliche Person)";"ABR959601467623";"3/16/2021"
"SEE993118217760";"Solaranlage 1";"In Betrieb";"3/2/2020";"3/2/2020";"Solare Strahlungsenergie";"17,55";"17";"16348";"Wandlitz";"(natürliche Person)";"ABR926263330503";"3/2/2020"
"SEE968235373668";"189695_TG_Hausdach";"In Betrieb";"3/2/2020";"3/30/2020";"Solare Strahlungsenergie";"7,8";"7,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR974203660326";"3/30/2020"
"SEE981388949962";"PV Anlage Hilbig";"In Betrieb";"3/3/2020";"3/3/2020";"Solare Strahlungsenergie";"8,64";"8,2";"16341";"Panketal";"(natürliche Person)";"ABR952652847376";"3/3/2020"
"SEE913258215105";"Glashaus";"In Betrieb";"3/3/2020";"3/3/2020";"Solare Strahlungsenergie";"9,75";"8";"16247";"Althüttendorf";"(natürliche Person)";"ABR994584025576";"3/3/2020"
"SEE968652656023";"Hausdach";"In Betrieb";"3/4/2020";"3/4/2020";"Solare Strahlungsenergie";"6";"5";"16248";"Hohenfinow";"(natürliche Person)";"ABR919907744613";"12/1/2021"
"SEE987866469960";"Hausdach";"In Betrieb";"3/5/2020";"3/19/2020";"Solare Strahlungsenergie";"5,12";"5";"16341";"Panketal";"(natürliche Person)";"ABR933383423442";"10/19/2020"
"SEE977522425973";"Dach";"In Betrieb";"3/6/2020";"3/6/2020";"Solare Strahlungsenergie";"8,4";"7";"16225";"Eberswalde";"Theodor GbR";"ABR938664456430";"10/5/2020"
"SEE986911410308";"PVA CK1";"In Betrieb";"3/6/2020";"3/9/2020";"Solare Strahlungsenergie";"8,925";"8,5";"16341";"Panketal";"(natürliche Person)";"ABR909572418940";"3/9/2020"
"SEE952041978957";"Homesolar1";"In Betrieb";"3/9/2020";"3/12/2020";"Solare Strahlungsenergie";"6,1";"6";"16321";"Bernau";"(natürliche Person)";"ABR977333431828";"3/12/2020"
"SEE938057061203";"V-00517-E-20";"In Betrieb";"3/10/2020";"3/18/2020";"Solare Strahlungsenergie";"5,12";"4,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR992943610197";"10/20/2020"
"SEE910092824456";"185825_UG_Hausdach";"In Betrieb";"3/10/2020";"4/6/2020";"Solare Strahlungsenergie";"4,55";"4,55";"16321";"Bernau";"(natürliche Person)";"ABR942451372452";"6/8/2021"
"SEE960143091801";"V-00408-A-19";"In Betrieb";"3/12/2020";"3/19/2020";"Solare Strahlungsenergie";"9,92";"9,92";"16321";"Bernau";"(natürliche Person)";"ABR903111299946";"1/11/2021"
"SEE993776527348";"Carport";"In Betrieb";"3/13/2020";"3/17/2020";"Solare Strahlungsenergie";"0,62";"0,6";"16341";"Panketal";"(natürliche Person)";"ABR964709229684";"4/3/2020"
"SEE985283295551";"16341 Zepernick, Schönower Straße 39, Anlage 2";"In Betrieb";"3/16/2020";"3/16/2020";"Solare Strahlungsenergie";"14,4";"14,4";"16341";"Panketal";"(natürliche Person)";"ABR957714347979";"3/16/2020"
"SEE914532188535";"PV";"In Betrieb";"3/16/2020";"3/16/2020";"Solare Strahlungsenergie";"9,86";"9,86";"16356";"Werneuchen";"(natürliche Person)";"ABR984784460468";"3/16/2020"
"SEE959737120799";"ZettPVZepernick Erweiterung 1";"In Betrieb";"3/16/2020";"3/23/2020";"Solare Strahlungsenergie";"1,02";"1";"16341";"Panketal";"(natürliche Person)";"ABR956463797288";"12/22/2020"
"SEE913170875166";"PVA AS 01";"In Betrieb";"3/16/2020";"4/13/2020";"Solare Strahlungsenergie";"5,58";"4,6";"16225";"Eberswalde";"(natürliche Person)";"ABR928786028073";"4/13/2020"
"SEE914753645657";"Photovoltaik";"In Betrieb";"3/18/2020";"5/13/2020";"Solare Strahlungsenergie";"9,9";"9";"16348";"Wandlitz";"Natascha Klapperich und Thomas Heinemann GbR";"ABR915476682226";"5/13/2020"
"SEE974657234418";"CarPort";"In Betrieb";"3/18/2020";"7/12/2020";"Solare Strahlungsenergie";"4,08";"3";"16341";"Panketal";"(natürliche Person)";"ABR926668478367";"7/12/2020"
"SEE961245730759";"208889_PS_Hausdach";"In Betrieb";"3/23/2020";"4/16/2020";"Solare Strahlungsenergie";"5,2";"4,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR907323139601";"4/16/2020"
"SEE959967028711";"PV-Anlage AMI";"In Betrieb";"3/23/2020";"5/8/2020";"Solare Strahlungsenergie";"13,44";"13,44";"16356";"Werneuchen";"(natürliche Person)";"ABR903213238409";"5/8/2020"
"SEE929048433017";"TAWandlitzPV";"In Betrieb";"3/24/2020";"3/25/2020";"Solare Strahlungsenergie";"5,6";"5,5";"16348";"Wandlitz";"(natürliche Person)";"ABR960539117832";"3/25/2020"
"SEE923564572847";"Dachkraftwerk";"Vorübergehend stillgelegt";"3/24/2020";"4/13/2020";"Solare Strahlungsenergie";"1";"1";"16341";"Panketal";"(natürliche Person)";"ABR912072762703";"12/18/2021"
"SEE980667913762";"PV Anlage Seifert";"In Betrieb";"3/25/2020";"3/25/2020";"Solare Strahlungsenergie";"6,3";"6";"16348";"Wandlitz";"(natürliche Person)";"ABR968849618551";"11/9/2020"
"SEE957405399171";"Werneuchen 4.1";"In Betrieb";"3/26/2020";"4/1/2020";"Solare Strahlungsenergie";"748,8";"660";"16356";"Werneuchen";"ENERPARC Solar Invest 124 GmbH";"ABR966580153720";"6/14/2021"
"SEE912504598863";"PVA MM 1";"In Betrieb";"3/26/2020";"4/2/2020";"Solare Strahlungsenergie";"9,9";"9,9";"16225";"Eberswalde";"(natürliche Person)";"ABR920590909241";"4/2/2020"
"SEE903078595006";"PVA CB 01";"In Betrieb";"3/26/2020";"4/19/2020";"Solare Strahlungsenergie";"5,94";"5,5";"16227";"Eberswalde";"(natürliche Person)";"ABR944900204659";"4/19/2020"
"SEE987508044722";"PVA CK20";"In Betrieb";"3/27/2020";"3/30/2020";"Solare Strahlungsenergie";"4,86";"4,6";"16341";"Panketal";"(natürliche Person)";"ABR923444601643";"10/8/2020"
"SEE975267751692";"Werneuchen";"In Betrieb";"3/27/2020";"3/31/2020";"Solare Strahlungsenergie";"499,74";"423,2";"16356";"Werneuchen";"sunnexus 8 GmbH";"ABR929256347571";"6/9/2020"
"SEE971171309233";"PV-Anlage";"In Betrieb";"3/27/2020";"4/3/2020";"Solare Strahlungsenergie";"8,25";"8,25";"16321";"Bernau";"(natürliche Person)";"ABR951343048597";"8/25/2021"
"SEE953586640316";"PVA AT 01";"In Betrieb";"3/27/2020";"4/8/2020";"Solare Strahlungsenergie";"9,28";"8,5";"16227";"Eberswalde";"(natürliche Person)";"ABR976172349943";"5/14/2020"
"SEE957577945732";"PV Anlage";"In Betrieb";"3/27/2020";"4/23/2020";"Solare Strahlungsenergie";"7,8";"6";"16244";"Schorfheide";"(natürliche Person)";"ABR945139326075";"11/2/2020"
"SEE925942865879";"Hausdach";"In Betrieb";"3/30/2020";"4/6/2020";"Solare Strahlungsenergie";"2,6";"2,5";"16247";"Joachimsthal";"(natürliche Person)";"ABR942697630255";"7/3/2020"
"SEE932343443056";"PV Anlage Marco Wolff Eisenbahnstr. 102, 16225 Eberswalde";"In Betrieb";"3/30/2020";"4/9/2020";"Solare Strahlungsenergie";"25,5";"20";"16225";"Eberswalde";"Marco Wolff Versicherung Immobilien Investment";"ABR967866694487";"4/9/2020"
"SEE913101413597";"PVA CW 01";"In Betrieb";"3/30/2020";"4/13/2020";"Solare Strahlungsenergie";"5,94";"5,5";"16230";"Britz";"(natürliche Person)";"ABR915734729113";"4/13/2020"
"SEE985066612728";"Solar KZS12 Bernau";"In Betrieb";"3/31/2020";"4/2/2020";"Solare Strahlungsenergie";"6,65";"6,65";"16321";"Bernau";"(natürliche Person)";"ABR900930018727";"2/9/2021"
"SEE989503886772";"PVA MN 01";"In Betrieb";"3/31/2020";"4/13/2020";"Solare Strahlungsenergie";"5,36";"4,2";"16225";"Eberswalde";"(natürliche Person)";"ABR970279740146";"4/13/2020"
"SEE920908417062";"Hausdach";"In Betrieb";"3/31/2020";"12/1/2020";"Solare Strahlungsenergie";"9,75";"9,75";"16356";"Werneuchen";"(natürliche Person)";"ABR920033111880";"12/1/2020"
"SEE946446564235";"Carsten Schwend";"In Betrieb";"4/1/2020";"4/23/2020";"Solare Strahlungsenergie";"0,58";"0,58";"16348";"Wandlitz";"(natürliche Person)";"ABR972743217482";"4/23/2020"
"SEE996576819354";"PV Hausdach";"In Betrieb";"4/1/2020";"4/27/2020";"Solare Strahlungsenergie";"5,94";"5,5";"16348";"Wandlitz";"(natürliche Person)";"ABR966589361836";"10/14/2020"
"SEE925369894247";"PV dach";"In Betrieb";"4/1/2020";"5/26/2020";"Solare Strahlungsenergie";"0,6";"0,315";"16356";"Werneuchen";"(natürliche Person)";"ABR984894133542";"5/26/2020"
"SEE993608972964";"V-00603-E-20";"In Betrieb";"4/1/2020";"7/22/2020";"Solare Strahlungsenergie";"5,025";"4";"16321";"Bernau";"(natürliche Person)";"ABR926589504824";"2/1/2021"
"SEE977269304012";"171349_KSV_Hausdach";"In Betrieb";"4/2/2020";"4/29/2020";"Solare Strahlungsenergie";"3,25";"3,25";"16225";"Eberswalde";"(natürliche Person)";"ABR974656124758";"4/29/2020"
"SEE979612044903";"Compulan PVA";"In Betrieb";"4/3/2020";"4/8/2020";"Solare Strahlungsenergie";"9,45";"9,45";"16321";"Bernau";"Compulan GmbH";"ABR985822492205";"1/11/2021"
"SEE916857241254";"PV-Hausdach";"In Betrieb";"4/3/2020";"5/13/2020";"Solare Strahlungsenergie";"5,04";"5";"16321";"Bernau";"(natürliche Person)";"ABR924886846012";"1/12/2021"
"SEE929443414376";"Hausdach";"In Betrieb";"4/9/2020";"2/19/2020";"Solare Strahlungsenergie";"4,14";"3,5";"16321";"Bernau";"(natürliche Person)";"ABR963200197638";"1/8/2021"
"SEE904758631458";"PV Anlage Dach_BHFSTR";"In Betrieb";"4/14/2020";"4/14/2020";"Solare Strahlungsenergie";"3,18";"3,18";"16341";"Panketal";"(natürliche Person)";"ABR990699026743";"7/3/2020"
"SEE905309422327";"PV";"In Betrieb";"4/15/2020";"4/16/2020";"Solare Strahlungsenergie";"9,76";"8";"16341";"Panketal";"(natürliche Person)";"ABR932299669258";"4/16/2020"
"SEE925851964427";"PV-Anlage Trobisch Schönow";"In Betrieb";"4/15/2020";"4/30/2020";"Solare Strahlungsenergie";"16,8";"15";"16321";"Bernau";"(natürliche Person)";"ABR957786676052";"3/19/2021"
"SEE958602700920";"159957_MH_Hausdach";"In Betrieb";"4/16/2020";"5/13/2020";"Solare Strahlungsenergie";"8,58";"8,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR915584672010";"5/13/2020"
"SEE993802615124";"Hausdach";"In Betrieb";"4/17/2020";"3/25/2020";"Solare Strahlungsenergie";"5,44";"5,44";"16341";"Panketal";"(natürliche Person)";"ABR986362189372";"7/15/2020"
"SEE986390483664";"PVA IS 01";"In Betrieb";"4/17/2020";"4/19/2020";"Solare Strahlungsenergie";"4,9";"4,9";"16230";"Britz";"(natürliche Person)";"ABR914861078309";"4/19/2020"
"SEE917037873227";"PV";"In Betrieb";"4/20/2020";"4/27/2020";"Solare Strahlungsenergie";"3,15";"3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR919652556813";"9/25/2020"
"SEE913631045084";"Schlaubi";"In Betrieb";"4/20/2020";"4/23/2020";"Solare Strahlungsenergie";"6,555";"6,555";"16341";"Panketal";"(natürliche Person)";"ABR904034898988";"4/23/2020"
"SEE972987764797";"Angle";"In Betrieb";"4/20/2020";"12/18/2020";"Solare Strahlungsenergie";"1,5";"1";"16225";"Eberswalde";"(natürliche Person)";"ABR911783139507";"12/18/2020"
"SEE929644985163";"PV Anlage";"In Betrieb";"4/21/2020";"5/15/2020";"Solare Strahlungsenergie";"9,24";"9";"16348";"Wandlitz";"(natürliche Person)";"ABR983924253182";"7/12/2020"
"SEE975429587244";"Solar Kuckucksweg";"In Betrieb";"4/22/2020";"5/5/2020";"Solare Strahlungsenergie";"5,94";"4,6";"16348";"Wandlitz";"(natürliche Person)";"ABR912622006547";"5/5/2020"
"SEE903396069678";"PVA SSt 01";"In Betrieb";"4/22/2020";"5/5/2020";"Solare Strahlungsenergie";"5,5";"4,2";"16230";"Britz";"(natürliche Person)";"ABR963185858449";"5/5/2020"
"SEE971069506812";"183858_AR_Hausdach";"In Betrieb";"4/23/2020";"5/15/2020";"Solare Strahlungsenergie";"6,6";"6,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR916727923488";"5/15/2020"
"SEE919287789273";"Harzer Fuchs";"In Betrieb";"4/23/2020";"7/1/2020";"Solare Strahlungsenergie";"6,5";"6,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR981839657064";"7/1/2020"
"SEE907452358485";"PVA SMA Schönfeld";"In Betrieb";"4/23/2020";"12/10/2020";"Solare Strahlungsenergie";"98,8";"98,8";"16356";"Werneuchen";"Schweinemast ALBERTSHOF KG";"ABR977118354618";"12/10/2020"
"SEE914309130316";"PVA MKa 01";"In Betrieb";"4/24/2020";"4/29/2020";"Solare Strahlungsenergie";"13,3";"10";"16356";"Ahrensfelde";"(natürliche Person)";"ABR943034175149";"4/29/2020"
"SEE922538713644";"Dach Wohnhaus";"In Betrieb";"4/24/2020";"6/17/2020";"Solare Strahlungsenergie";"7,68";"7,68";"16348";"Marienwerder";"(natürliche Person)";"ABR928487974600";"6/17/2020"
"SEE948414318628";"Photovoltaikanlage 2020";"In Betrieb";"4/24/2020";"8/6/2020";"Solare Strahlungsenergie";"5,1";"5,1";"16225";"Eberswalde";"(natürliche Person)";"ABR911796353426";"8/6/2020"
"SEE908949813791";"PV Garvens Basdorf";"In Betrieb";"4/27/2020";"4/27/2020";"Solare Strahlungsenergie";"21,4";"20";"16348";"Wandlitz";"(natürliche Person)";"ABR931521172795";"1/4/2021"
"SEE920202052693";"Hausdach";"In Betrieb";"4/27/2020";"4/29/2020";"Solare Strahlungsenergie";"7,15";"7,15";"16341";"Panketal";"(natürliche Person)";"ABR902104928733";"11/17/2020"
"SEE927332216230";"PV-Anlage Korte Zerpenschleuse";"In Betrieb";"4/27/2020";"4/30/2020";"Solare Strahlungsenergie";"9,6";"9,6";"16348";"Wandlitz";"(natürliche Person)";"ABR936597134500";"4/19/2021"
"SEE928796715383";"PVA HB 01";"In Betrieb";"4/27/2020";"5/10/2020";"Solare Strahlungsenergie";"29,4";"25";"16244";"Schorfheide";"(natürliche Person)";"ABR924771580304";"3/22/2021"
"SEE993407453350";"PV Dachanlage Heidewald Sporthalle";"In Betrieb";"4/28/2020";"5/4/2020";"Solare Strahlungsenergie";"189,57";"150";"16227";"Eberswalde";"SUN:BAR Photovoltaik Barnim GmbH";"ABR941968821934";"12/2/2020"
"SEE993433573633";"PV-Anlage CA-WEIS";"In Betrieb";"4/29/2020";"5/15/2020";"Solare Strahlungsenergie";"6,08";"4,6";"16359";"Biesenthal";"(natürliche Person)";"ABR945657218258";"2/11/2021"
"SEE935159410045";"PV Dachanlage Grundschule Schwärzesee";"In Betrieb";"4/30/2020";"5/4/2020";"Solare Strahlungsenergie";"137,76";"125";"16227";"Eberswalde";"SUN:BAR Photovoltaik Barnim GmbH";"ABR941968821934";"10/23/2020"
"SEE937411803756";"Sonnen Panke A";"In Betrieb";"4/30/2020";"5/2/2020";"Solare Strahlungsenergie";"6,93";"6";"16341";"Panketal";"MaKaSchu GbR";"ABR997425143491";"5/2/2020"
"SEE959936280546";"Solaranlage RELLL";"In Betrieb";"4/30/2020";"5/6/2020";"Solare Strahlungsenergie";"7,7";"7,7";"16321";"Bernau";"(natürliche Person)";"ABR928344622989";"2/9/2021"
"SEE911794149564";"PVA HB 02";"In Betrieb";"4/30/2020";"5/10/2020";"Solare Strahlungsenergie";"29,4";"25";"16244";"Schorfheide";"(natürliche Person)";"ABR924771580304";"7/16/2021"
"SEE985788404663";"Hausdach";"In Betrieb";"4/30/2020";"5/11/2020";"Solare Strahlungsenergie";"9,92";"8";"16359";"Biesenthal";"(natürliche Person)";"ABR915032414520";"5/11/2020"
"SEE954037495288";"Solar-Eberswalde1";"In Betrieb";"4/30/2020";"6/16/2020";"Solare Strahlungsenergie";"298,55";"240";"16225";"Eberswalde";"Andreas Koerber Solar Eberswalde";"ABR950026959403";"11/12/2020"
"SEE995801254984";"Carportstrom";"In Betrieb";"5/1/2020";"5/8/2020";"Solare Strahlungsenergie";"1,86";"1,65";"16341";"Panketal";"(natürliche Person)";"ABR914140922606";"10/17/2020"
"SEE990517201314";"PV auf Flachdach";"In Betrieb";"5/4/2020";"5/4/2020";"Solare Strahlungsenergie";"9,92";"9,92";"16230";"Chorin";"(natürliche Person)";"ABR995722208684";"5/4/2020"
"SEE903730746487";"PV-Garage";"In Betrieb";"5/4/2020";"5/4/2020";"Solare Strahlungsenergie";"5,1";"5";"16341";"Panketal";"(natürliche Person)";"ABR964894789406";"11/25/2020"
"SEE953684214440";"Blackrock";"In Betrieb";"5/5/2020";"5/10/2020";"Solare Strahlungsenergie";"5,78";"5";"16341";"Panketal";"(natürliche Person)";"ABR939981122879";"10/13/2020"
"SEE912688037806";"Eigensonne PV A 718";"In Betrieb";"5/5/2020";"5/14/2020";"Solare Strahlungsenergie";"7,04";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR906918992584";"9/21/2021"
"SEE907744828153";"PV-Anlage";"In Betrieb";"5/5/2020";"6/3/2020";"Solare Strahlungsenergie";"8,25";"8";"16321";"Bernau";"(natürliche Person)";"ABR912393390807";"2/10/2021"
"SEE986197456854";"PV-Hausdach";"In Betrieb";"5/5/2020";"6/8/2020";"Solare Strahlungsenergie";"7,035";"4,6";"16348";"Wandlitz";"(natürliche Person)";"ABR902262282739";"10/14/2020"
"SEE916333286861";"Dach";"In Betrieb";"5/6/2020";"5/6/2020";"Solare Strahlungsenergie";"9,8";"9,8";"16321";"Bernau";"(natürliche Person)";"ABR965617611431";"3/2/2021"
"SEE912766075881";"Eigensonne PV Omega 776";"In Betrieb";"5/6/2020";"5/7/2020";"Solare Strahlungsenergie";"4,42";"4";"16356";"Ahrensfelde";"(natürliche Person)";"ABR952887948008";"5/7/2020"
"SEE922589483435";"Hausdach";"In Betrieb";"5/6/2020";"6/26/2020";"Solare Strahlungsenergie";"16,56";"15";"16356";"Werneuchen";"(natürliche Person)";"ABR959207712202";"6/26/2020"
"SEE966713471943";"ABR969526391200";"In Betrieb";"5/7/2020";"5/7/2020";"Solare Strahlungsenergie";"5,85";"5,5";"16225";"Eberswalde";"(natürliche Person)";"ABR969526391200";"11/17/2020"
"SEE946795991287";"PV Anlage E3DC";"In Betrieb";"5/7/2020";"6/7/2020";"Solare Strahlungsenergie";"7,8";"7,8";"16321";"Bernau";"(natürliche Person)";"ABR901601100987";"6/7/2020"
"SEE973765915936";"Solaranlage";"In Betrieb";"5/9/2020";"5/9/2020";"Solare Strahlungsenergie";"1,5";"1,5";"16341";"Panketal";"(natürliche Person)";"ABR959974469002";"5/9/2020"
"SEE952127802114";"PVThälmannstr";"In Betrieb";"5/11/2020";"5/11/2020";"Solare Strahlungsenergie";"9,9";"8";"16356";"Ahrensfelde";"(natürliche Person)";"ABR911378539583";"5/11/2020"
"SEE939832021337";"208496_MD_Hausdach";"In Betrieb";"5/11/2020";"5/15/2020";"Solare Strahlungsenergie";"7,92";"7,5";"16341";"Panketal";"(natürliche Person)";"ABR967454395857";"5/15/2020"
"SEE970058276545";"PV";"In Betrieb";"5/12/2020";"5/12/2020";"Solare Strahlungsenergie";"6,1";"5";"16321";"Bernau";"(natürliche Person)";"ABR983731712940";"2/10/2021"
"SEE909338395683";"PV";"In Betrieb";"5/13/2020";"5/13/2020";"Solare Strahlungsenergie";"6,2";"6";"16321";"Bernau";"(natürliche Person)";"ABR918451795775";"2/10/2021"
"SEE947950296131";"Solarstrom Blumenhag";"In Betrieb";"5/14/2020";"5/14/2020";"Solare Strahlungsenergie";"7,44";"6";"16321";"Bernau";"(natürliche Person)";"ABR930618189920";"1/12/2021"
"SEE926170989139";"Dach";"In Betrieb";"5/15/2020";"5/15/2020";"Solare Strahlungsenergie";"9,75";"9,75";"16321";"Bernau";"(natürliche Person)";"ABR914257696032";"1/19/2021"
"SEE953275083608";"PV";"In Betrieb";"5/15/2020";"5/15/2020";"Solare Strahlungsenergie";"0,57";"0,57";"16321";"Bernau";"(natürliche Person)";"ABR975797483094";"3/3/2022"
"SEE969561357506";"PVA 8,125 kWp";"In Betrieb";"5/15/2020";"5/18/2020";"Solare Strahlungsenergie";"8,125";"8";"16225";"Eberswalde";"(natürliche Person)";"ABR957592861437";"12/10/2020"
"SEE916986290338";"PV Stöhr in Wandlitz";"In Betrieb";"5/15/2020";"5/20/2020";"Solare Strahlungsenergie";"4,48";"3,68";"16348";"Wandlitz";"(natürliche Person)";"ABR915278658894";"9/25/2020"
"SEE990417834414";"Bungalow";"In Betrieb";"5/15/2020";"7/24/2020";"Solare Strahlungsenergie";"4,48";"3,68";"16348";"Wandlitz";"(natürliche Person)";"ABR954749061115";"11/13/2020"
"SEE943235223113";"Bungalow";"In Betrieb";"5/16/2020";"5/25/2020";"Solare Strahlungsenergie";"6,05";"6";"16348";"Wandlitz";"(natürliche Person)";"ABR970767703257";"11/8/2021"
"SEE943996306063";"Hausdach";"In Betrieb";"5/18/2020";"3/17/2021";"Solare Strahlungsenergie";"5,67";"5";"16230";"Chorin";"(natürliche Person)";"ABR984592460698";"5/25/2021"
"SEE965487076866";"PV";"In Betrieb";"5/18/2020";"5/18/2020";"Solare Strahlungsenergie";"8,58";"8,2";"16348";"Wandlitz";"(natürliche Person)";"ABR900085248284";"5/18/2020"
"SEE993685769600";"Solar";"In Betrieb";"5/18/2020";"5/18/2020";"Solare Strahlungsenergie";"8,25";"7";"16348";"Wandlitz";"(natürliche Person)";"ABR915556352957";"5/18/2020"
"SEE998976153939";"PVA TV 01";"In Betrieb";"5/18/2020";"5/19/2020";"Solare Strahlungsenergie";"7,1";"7,1";"16230";"Britz";"Pension Thomas Volgmann";"ABR940279338872";"12/12/2020"
"SEE962671567568";"PVA AA 01";"In Betrieb";"5/19/2020";"6/5/2020";"Solare Strahlungsenergie";"5,28";"4,2";"16225";"Eberswalde";"(natürliche Person)";"ABR934619578189";"6/5/2020"
"SEE916918002442";"Garage";"In Betrieb";"5/20/2020";"5/24/2020";"Solare Strahlungsenergie";"5,76";"5,5";"16348";"Wandlitz";"(natürliche Person)";"ABR967752800732";"5/24/2020"
"SEE985174573713";"PV-Anlage";"In Betrieb";"5/20/2020";"6/5/2020";"Solare Strahlungsenergie";"9,92";"9,92";"16321";"Bernau";"(natürliche Person)";"ABR956633643551";"2/10/2021"
"SEE999101060641";"PV-Hausdach";"In Betrieb";"5/20/2020";"6/24/2020";"Solare Strahlungsenergie";"5,44";"5,44";"16356";"Ahrensfelde";"(natürliche Person)";"ABR909377744084";"6/24/2020"
"SEE944360973140";"LottscheSolarGbR";"In Betrieb";"5/22/2020";"5/22/2020";"Solare Strahlungsenergie";"3,06";"3,06";"16348";"Wandlitz";"LottscheSolar GbR";"ABR921937862687";"9/1/2020"
"SEE935109145867";"PVA RS 01";"In Betrieb";"5/22/2020";"6/5/2020";"Solare Strahlungsenergie";"6,4";"4,6";"16244";"Schorfheide";"(natürliche Person)";"ABR904698810067";"6/5/2020"
"SEE990345034641";"Gärtner PVA";"In Betrieb";"5/25/2020";"5/26/2020";"Solare Strahlungsenergie";"5,76";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR906337477914";"10/20/2020"
"SEE989787805575";"PVA 9,75 kWp";"In Betrieb";"5/25/2020";"5/28/2020";"Solare Strahlungsenergie";"9,75";"8,5";"16348";"Marienwerder";"NAV Immobilien und Grundbesitz GmbH";"ABR905920141409";"5/28/2020"
"SEE988244778865";"231866_CH_Hausdach";"In Betrieb";"5/25/2020";"6/3/2020";"Solare Strahlungsenergie";"5,28";"4,6";"16348";"Wandlitz";"(natürliche Person)";"ABR999654275738";"6/3/2020"
"SEE970565240060";"PV -Anlage";"In Betrieb";"5/25/2020";"8/26/2020";"Solare Strahlungsenergie";"8,05";"8,05";"16356";"Werneuchen";"(natürliche Person)";"ABR989857993355";"8/26/2020"
"SEE971215428654";"KGV Fundgrube Parzelle 60";"In Betrieb";"5/26/2020";"5/26/2020";"Solare Strahlungsenergie";"0,8";"0,315";"16244";"Schorfheide";"(natürliche Person)";"ABR928925860175";"5/26/2020"
"SEE995263580010";"Solaranlage 1";"In Betrieb";"5/26/2020";"5/28/2020";"Solare Strahlungsenergie";"9,6";"8,2";"16348";"Wandlitz";"(natürliche Person)";"ABR908117049984";"11/30/2020"
"SEE990414241079";"Photovotaik";"In Betrieb";"5/26/2020";"9/7/2020";"Solare Strahlungsenergie";"1,24";"1";"16341";"Panketal";"(natürliche Person)";"ABR952487274194";"3/6/2021"
"SEE973553090548";"PV-Anlage Hausdach";"In Betrieb";"5/27/2020";"6/25/2020";"Solare Strahlungsenergie";"6,5";"5";"16230";"Chorin";"(natürliche Person)";"ABR916380950869";"6/25/2020"
