,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
17,9672,Bad Kissingen,4509.8,203.96,0.0,14486.93,858.55,788.7,118842.0,138831.38999999998,858.55,99.38538881182139
18,7133,Bad Kreuznach,338.0,50.0,0.0,7444.439,341.27,280.0,138480.0,146592.439,341.27,99.7677387970925
19,9173,Bad Tölz-Wolfratshausen,6864.0,0.0,0.0,8261.69,379.05,2013.5,9.9,17149.09,379.05,97.837477336443
20,8211,Baden-Baden,2295.0,430.0,0.0,1819.578,5612.45,50.31,0.0,4594.888,5612.45,45.01553686181451
21,9461,Bamberg,1914.0,0.0,0.0,3301.621,2556.09,1295.0,6000.0,12510.621,2556.09,83.03485080453193
22,12060,Barnim,28800.0,1878.0,0.0,20485.943,5125.64,0.0,347294.6,398458.54299999995,5125.64,98.72997004939612
23,14625,Bautzen,16957.0,320.0,0.0,21900.918,17755.12,607.5,139940.7,179726.11800000002,17755.12,91.00921172065976
24,9462,Bayreuth,877.0,20.5,0.0,1926.013,5207.25,89.0,0.0,2912.513,5207.25,35.869433627557854
25,9172,Berchtesgadener Land,4811.0,0.0,0.0,6395.244,2355.3,14651.2,0.0,25857.444,2355.3,91.65164508634821
26,6431,Bergstraße,5537.0,50.0,0.0,14302.518,9970.81,103.0,48750.0,68742.518,9970.81,87.3327551339209
27,11000,Berlin,39825.0,124.18,0.0,13246.944,392941.804,0.0,20775.2,73971.324,392941.804,15.842631008653068
28,7231,Bernkastel-Wittlich,8673.0,0.0,0.0,15854.247,1917.5,52092.6,208854.0,285473.847,1917.5,99.33279132443748
29,8426,Biberach,78366.3,150.0,0.0,31968.957,13637.31,36280.11,3747.5,150512.867,13637.31,91.69217466028076
30,5711,Bielefeld,55761.0,0.0,0.0,7589.247,6388.2,11.0,15300.0,78661.247,6388.2,92.48884005089415
31,7134,Birkenfeld,9649.3,0.0,0.0,6215.906,1242.045,55.9,153270.6,169191.706,1242.045,99.27124469612828
32,5911,Bochum,6844.0,1370.5,0.0,4672.035,63959.64,830.0,1500.0,15216.535,63959.64,19.218578063413645
33,8435,Bodenseekreis,6381.2,178.0,0.0,14849.743,19778.85,73.7,0.0,21482.643,19778.85,52.06462839335455
34,5314,Bonn,246.0,0.0,0.0,1684.57,749.65,0.0,0.0,1930.57,749.65,72.03028109632793
35,5512,Bottrop,6525.0,4500.0,0.0,2930.72,1628.7,0.0,16120.0,30075.72,1628.7,94.86286139282788
36,12051,Brandenburg an der Havel,1937.0,0.0,0.0,6941.785,184652.25,0.0,0.0,8878.785,184652.25,4.587783556265277
37,3101,Braunschweig,5177.0,65.0,0.0,5837.582,11158.135,0.0,7100.0,18179.582000000002,11158.135,61.966587243308666
38,8315,Breisgau-Hochschwarzwald,8876.1,0.6,0.0,14886.384,6816.01,3543.3,17891.8,45198.183999999994,6816.01,86.89586538628282
39,4011,Bremen,4221.7,0.0,0.0,1693.833,10232.95,0.0,134159.0,140074.53300000002,10232.95,93.19198898434084
40,4012,Bremerhaven,8338.0,0.0,0.0,457.567,491.505,0.0,67140.0,75935.567,491.505,99.35689672894965
41,15084,Burgenlandkreis,24305.85,0.0,0.0,22437.213,13706.23,3425.0,505124.0,555292.063,13706.23,97.59116500548096
42,8115,Böblingen,5735.6,1415.0,0.0,24426.166,133895.76,72.4,0.0,31649.166000000005,133895.76,19.11817339542017
43,15083,Börde,35910.0,0.0,0.0,22871.21,10615.041000000001,0.0,726885.0,785666.21,10615.041000000001,98.66692315225693
44,8235,Calw,5108.3,65.0,0.0,10356.781,3533.7000000000003,2617.0,61110.0,79257.081,3533.7000000000003,95.73177114973707
45,3351,Celle,66801.58,0.0,0.0,13731.679,1422.0,37.0,166300.0,246870.25900000002,1422.0,99.42728782374162
46,9372,Cham,47773.5,29.9,0.0,21203.723,749.43,2131.53,796.1,71934.753,749.43,98.96892285354573
47,14511,Chemnitz,2109.0,0.0,0.0,4905.28,171290.85499999998,400.0,13400.9,20815.18,171290.85499999998,10.83525564410301
48,3453,Cloppenburg,124580.0,0.0,0.0,24159.173,11133.48,28.369999999999997,497896.3,646663.843,11133.48,98.30746042729031
49,9463,Coburg,0.0,700.0,0.0,2283.043,3957.06,0.0,0.0,2983.043,3957.06,42.98269060271872
50,7135,Cochem-Zell,9375.0,0.0,0.0,17180.465,232.26,49200.0,140290.0,216045.465,232.26,99.8926103000205
51,5558,Coesfeld,29510.7,0.0,0.0,33772.321,1164.61,234.0,266230.0,329747.021,1164.61,99.64806011910775
52,12052,Cottbus,635.0,0.0,0.0,3442.691,81897.0,280.0,64000.0,68357.691,81897.0,45.494546988885695
53,3352,Cuxhaven,52670.0,0.0,0.0,15155.604,1352.8799999999999,0.0,794078.9,861904.5040000001,1352.8799999999999,99.8432819660654
54,9174,Dachau,20860.0,0.0,0.0,29084.912,1008.75,235.0,20528.0,70707.912,1008.75,98.59342310159388
55,12061,Dahme-Spreewald,39848.2,4.68,0.0,39894.426999999996,11768.210000000001,5.5,627450.0,707202.807,11768.210000000001,98.36318714916989
56,6411,Darmstadt,1937.1,0.0,0.0,1836.986,127947.29,0.0,0.0,3774.0860000000002,127947.29,2.8652038982647743
57,6432,Darmstadt-Dieburg,5427.0,0.0,0.0,7547.131,1839.04,0.0,25360.0,38334.131,1839.04,95.42221847511117
58,9271,Deggendorf,6920.0,0.0,0.0,47073.108,1295.65,7906.0,6.5,61905.608,1295.65,97.94996169221821
59,3401,Delmenhorst,252.0,0.0,0.0,1273.29,83.0,0.0,17850.0,19375.29,83.0,99.57344658754701
