,index,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
125,125,3353,Harburg,27677.0,306.0,0.0,72469.677,10000.398,295.0,207104.5,307852.177,10000.398,96.85376215687414
126,126,15085,Harz,29520.0,0.0,0.0,283383.674,17279.47,8790.5,246680.0,568374.174,17279.47,97.04954111068419
127,127,12063,Havelland,20196.0,0.0,0.0,243032.108,42265.762,0.0,319400.0,582628.108,42265.762,93.23632955464902
128,128,9674,Haßberge,16516.3,0.0,0.0,252008.474,67926.97,13412.56,37151.98,319089.31399999995,67926.97,82.44854989099115
129,129,3358,Heidekreis,69390.0,0.0,0.0,87665.492,25785.205,1457.5,357775.0,516287.99199999997,25785.205,95.24322450497401
130,130,8221,Heidelberg,6992.0,794.0,0.0,27427.917,19484.77,6460.0,0.0,41673.917,19484.77,68.14063388901727
131,131,8135,Heidenheim,30544.0,0.0,0.0,155177.67799999999,194631.33000000002,2832.0,139622.043,328175.721,194631.33000000002,62.77186208033755
132,132,8121,Heilbronn,3884.0,2310.0,0.0,40826.507,1116200.03,6615.0,0.0,53635.507,1116200.03,4.584875848236434
133,133,5370,Heinsberg,17670.4,15.0,0.0,162180.66,9649.89,0.0,237990.0,417856.06000000006,9649.89,97.74274720620846
134,134,3154,Helmstedt,16602.0,0.0,0.0,45012.315,55567.68,0.0,150700.0,212314.315,55567.68,79.25665739498469
135,135,5758,Herford,9599.0,155.0,0.0,118548.612,166261.24,354.5,34524.5,163181.612,166261.24,49.53260057377114
136,136,5916,Herne,0.0,1350.0,0.0,13601.979,514808.55,0.0,0.0,14951.979,514808.55,2.8224033655780345
137,137,6632,Hersfeld-Rotenburg,7580.5,0.0,0.0,124665.83,250658.27,4590.5,155940.0,292776.83,250658.27,53.87521527409621
138,138,1053,Herzogtum Lauenburg,27898.0,0.0,0.0,82888.062,8863.982,2100.0,96686.0,209572.062,8863.982,95.94206989026043
139,139,16069,Hildburghausen,11327.0,60.0,0.0,103957.293,6489.88,169.9,17904.199,133418.392,6489.88,95.36133217341144
140,140,3254,Hildesheim,54190.0,150.0,0.0,109155.124,58951.715000000004,4247.7,125400.0,293142.824,58951.715000000004,83.25685051309472
141,141,5958,Hochsauerlandkreis,44227.0,96.0,0.0,199772.925,57485.083,23131.11,98199.5,365426.535,57485.083,86.40730579314565
142,142,6434,Hochtaunuskreis,3360.0,9.9,0.0,50224.242,15242.72,67.0,50280.0,103941.14199999999,15242.72,87.21075173751291
143,143,9464,Hof,5450.7,0.0,0.0,23109.739,9245.925,234.0,0.0,28794.439000000002,9245.925,75.69443604693163
144,144,8126,Hohenlohekreis,13649.0,0.0,0.0,179991.254,14746.95,5401.8,41300.0,240342.05399999997,14746.95,94.21890016082386
145,145,3255,Holzminden,7076.0,0.0,0.0,40969.889,8888.1,73.0,53250.0,101368.889,8888.1,91.938742314104
146,146,5762,Höxter,37829.0,207.0,0.0,218691.533,4532.795,2498.1,597101.0,856326.633,4532.795,99.47345700673444
147,147,16070,Ilm-Kreis,8805.0,324.0,0.0,61901.812,10264.25,489.0,6405.0,77924.812,10264.25,88.36108496085376
148,148,9161,Ingolstadt,1540.0,0.0,0.0,59285.969,93026.19,20130.0,0.0,80955.969,93026.19,46.531190017017785
