,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
137,Herzogtum Lauenburg,27898.0,0.0,0.0,82888.062,8863.982,2100.0,96686.0,209572.062,8863.982,95.94206989026043
138,Hildburghausen,12228.0,60.0,0.0,104957.453,6489.88,169.9,17904.199,135319.552,6489.88,95.4235202070339
139,Hildesheim,54190.0,150.0,0.0,109155.124,58951.715000000004,4247.7,125700.0,293442.824,58951.715000000004,83.2711042664597
140,Hochsauerlandkreis,44227.0,96.0,0.0,199772.925,57485.083,23131.11,98699.5,365926.535,57485.083,86.42335718808737
141,Hochtaunuskreis,3360.0,9.9,0.0,50224.242,15242.72,67.0,50280.0,103941.14199999999,15242.72,87.21075173751291
142,Hof,5450.7,0.0,0.0,23109.739,9245.925,234.0,0.0,28794.439000000002,9245.925,75.69443604693163
143,Hohenlohekreis,13649.0,0.0,0.0,179991.254,14746.95,5451.8,42800.0,241892.05399999997,14746.95,94.25381576060043
144,Holzminden,7076.0,0.0,0.0,41043.729,8888.1,73.0,53250.0,101442.72899999999,8888.1,91.94413739064717
145,Höxter,37829.0,207.0,0.0,219690.913,4532.795,2498.1,597701.0,857926.013,4532.795,99.47443345027557
146,Ilm-Kreis,8805.0,324.0,0.0,64667.982,10264.25,489.0,7005.0,81290.982,10264.25,88.78900771066802
147,Ingolstadt,1540.0,0.0,0.0,59285.969,93026.19,20130.0,0.0,80955.969,93026.19,46.531190017017785
148,Jena,3038.0,0.0,0.0,13014.451000000001,202285.374,2307.0,0.0,18359.451,202285.374,8.32081649773567
149,Jerichower Land,17000.0,0.0,0.0,208348.209,10622.61,0.0,294485.0,519833.20900000003,10622.61,97.99745622170279
150,Kaiserslautern,0.0,800.0,0.0,61397.557,33375.299999999996,0.0,9225.0,71422.557,33375.299999999996,68.15268846575748
151,Karlsruhe,0.0,1442.0,0.0,50094.532,2158171.792,1895.0,3110.0,56541.532,2158171.792,2.552995522593424
152,Kassel,16024.0,0.0,0.0,46530.099,140839.75,961.0,8150.0,71665.099,140839.75,33.72398292897307
153,Kaufbeuren,3009.0,0.0,0.0,23950.89,9173.21,2406.0,0.4,29366.29,9173.21,76.19790085496699
154,Kelheim,24963.15,0.0,0.0,421918.256,69369.36,17723.1,4959.7,469564.206,69369.36,87.12840239013802
155,Kempten (Allgäu),1850.0,0.0,0.0,39491.340000000004,15080.39,12327.5,0.0,53668.840000000004,15080.39,78.06464159671314
156,Kiel,563.0,0.0,0.0,16871.931,227680.0,120.0,75.0,17629.931,227680.0,7.186798727687874
157,Kitzingen,10353.0,0.0,0.0,267609.048,15934.53,14657.0,27752.0,320371.048,15934.53,95.26188947124747
158,Kleve,55547.0,4190.0,0.0,341517.407,44678.366,0.0,372746.3,774000.7069999999,44678.366,94.54262757245291
159,Koblenz,1487.0,0.0,0.0,21709.045,13300.51,16171.0,101.0,39468.045,13300.51,74.79462911197776
160,Konstanz,28597.48,160.0,0.0,207137.069,48999.83,4059.0,9902.8,249856.349,48999.83,83.60421050554888
161,Krefeld,609.0,0.0,0.0,39623.517,253909.364,0.0,20150.0,60382.517,253909.364,19.21224207506652
162,Kreis Ansbach,139335.75,5.25,0.0,661428.277,15809.15,605.9300000000001,158356.625,959731.832,15809.15,98.37944788669063
163,Kreis Aschaffenburg,23653.0,85.0,0.0,101312.292,38603.590000000004,9806.85,4.0,134861.142,38603.590000000004,77.74556847670915
164,Kreis Augsburg,32565.0,4.7,0.0,400519.906,22512.93,53971.5,16700.53,503761.636,22512.93,95.7222082436718
165,Kreis Bamberg,25510.5,0.0,0.0,224707.666,830750.85,10934.1,78675.0,339827.266,830750.85,29.030720919440117
166,Kreis Bayreuth,18964.0,52.0,0.0,181515.48,1325.48,2827.25,111502.0,314860.73,1325.48,99.58079133179149
167,Kreis Borken,91370.2,204.7,0.0,599476.274,39890.23,434.6,587134.5,1278620.2739999997,39890.23,96.97459899796141
168,Kreis Coburg,15131.0,69.625,0.0,180461.786,7567.35,1448.0,26355.4,223465.811,7567.35,96.72456111181373
169,Kreis Fürth,9734.0,0.0,0.0,111964.118,2399.42,616.5,54940.0,177254.61800000002,2399.42,98.66442189292734
170,Kreis Heilbronn,12470.0,834.0,1400000.0,280583.599,103115.72,21959.28,72205.5,388052.37899999996,1503115.72,20.519190187545565
171,Kreis Hof,19940.0,5.94,0.0,228560.781,22824.48,2072.9,243666.5,494246.121,22824.48,95.5858097606288
172,Kreis Kaiserslautern,11467.0,0.0,0.0,94727.058,18457.805,0.0,78050.0,184244.05800000002,18457.805,90.894111811888
173,Kreis Karlsruhe,5796.7,1343.0,0.0,296308.705,38023.2,2207.7,2000.0,307656.10500000004,38023.2,89.00044074087687
174,Kreis Kassel,18370.24,5.5,0.0,222098.459,88433.91,2982.2,198894.0,442350.399,88433.91,83.33901200534547
175,Kreis Landshut,36664.0,0.0,1485000.0,461374.163,4785.3,53080.94,14497.4,565616.503,1489785.3,27.518536870720066
176,Kreis Leipzig,30084.0,160.0,0.0,336341.797,1928590.49,3605.5,94867.5,465058.797,1928590.49,19.42886117551773
177,Kreis München,13565.0,24112.0,0.0,119674.943,502610.66000000003,19908.0,9.0,177268.943,502610.66000000003,26.07357864801248
178,Kreis Oldenburg,68617.0,2720.0,0.0,159381.83,49050.1,114.0,251503.45,482336.28,49050.1,90.76940963372077
179,Kreis Osnabrück,84908.3,1327.0,0.0,390627.05,35521.14,280.5,461873.899,939016.7490000001,35521.14,96.35507860690268
180,Kreis Passau,28640.0,56.0,0.0,563694.161,11230.515,225722.475,623.54,818736.176,11230.515,98.6468716007785
181,Kreis Regensburg,7571.9,0.0,0.0,349075.891,11168.845000000001,7522.2,29656.3,393826.291,11168.845000000001,97.24222737331837
182,Kreis Rosenheim,45561.1,80.0,0.0,244108.253,36894.26,171586.7,635.5,461971.55299999996,36894.26,92.60437194961683
183,Kreis Rostock,49955.316,0.0,0.0,451241.719,16370.69,168.76,724728.3,1226094.0950000002,16370.69,98.68240209319093
184,Kreis Schweinfurt,13710.1,30.0,0.0,183473.764,8729.341,7234.5,111813.25,316261.61399999994,8729.341,97.31397416891187
185,Kreis Würzburg,26628.0,39.89,0.0,292527.882,40064.78,5225.0,126594.0,451014.772,40064.78,91.84148885107723
186,Kronach,2534.5,0.0,0.0,79391.262,3854.25,991.0,27402.0,110318.762,3854.25,96.62420222390209
187,Kulmbach,4105.0,0.0,0.0,160862.971,7329.85,1734.5,81704.38,248406.851,7329.85,97.13382945375525
188,Kusel,2169.0,0.0,0.0,56297.157,1402.68,499.5,157515.0,216480.657,1402.68,99.35622428988225
189,Kyffhäuserkreis,5043.0,0.0,0.0,150678.543,3514.8,573.6,215800.0,372095.14300000004,3514.8,99.0642420240723
190,Köln,7316.0,0.0,0.0,82992.904,1654734.398,2.2,16550.0,106861.10399999999,1654734.398,6.066154453657318
191,Lahn-Dill-Kreis,2500.6,810.0,0.0,130263.346,12902.232,5029.6,136637.25,275240.796,12902.232,95.52228207999535
192,Landau in der Pfalz,0.0,7050.0,0.0,33047.084,49174.76,0.0,0.0,40097.084,49174.76,44.91571161003463
193,Landsberg am Lech,16407.5,372.0,0.0,224264.869,5194.04,123202.7,16007.3,380254.369,5194.04,98.65246816987123
194,Landshut,7674.0,0.0,0.0,76912.24,29955.728,7655.0,2000.0,94241.24,29955.728,75.88046754893405
195,Leer,5663.0,0.0,0.0,91522.366,47621.578,0.0,227004.0,324189.366,47621.578,87.19199131481187
196,Leipzig,15904.0,0.0,0.0,98538.065,199241.77,95.0,27000.0,141537.065,199241.77,41.53340831745024
197,Leverkusen,6.0,0.0,0.0,18841.452,165908.91,555.0,0.0,19402.452,165908.91,10.470190165673706
198,Lichtenfels,8320.0,0.0,0.0,161209.411,3181.35,3597.55,12506.0,185632.96099999998,3181.35,98.31509063950136
199,Limburg-Weilburg,5630.0,548.0,0.0,112782.875,5027.51,3245.0,99810.3,222016.175,5027.51,97.7856640232033
200,Lindau (Bodensee),1026.0,210.0,0.0,66184.734,6205.22,718.5,0.0,68139.234,6205.22,91.65341909700486
201,Lippe,67540.0,195.0,0.0,186679.742,72199.48,742.91,148477.5,403635.152,72199.48,84.82677065842488
202,Ludwigsburg,20637.0,76.0,0.0,205067.832,923267.453,26440.13,3004.5,255225.462,923267.453,21.65693647806105
203,Ludwigshafen am Rhein,649.74,5395.0,0.0,24693.634,1229343.228,0.0,0.0,30738.374,1229343.228,2.439395508291851
204,Ludwigslust-Parchim,99682.9,0.0,0.0,825897.475,21098.32,2300.0,659350.0,1587230.375,21098.32,98.68818357431594
205,Lörrach,1379.3,207.0,0.0,95857.966,68627.497,339676.37,26901.8,464022.436,68627.497,87.11583485733773
206,Lübeck,11136.0,0.0,0.0,20794.534,37843.96,75.0,14650.0,46655.534,37843.96,55.21398033460413
207,Lüchow-Dannenberg,28476.0,0.0,0.0,42450.604,4561.04,11.0,102200.0,173137.604,4561.04,97.43327247899539
208,Lüneburg,39870.1,1200.0,0.0,67153.03,10264.32,517.01,241140.0,349880.13999999996,10264.32,97.14994366427294
209,Magdeburg,9762.0,0.0,0.0,61201.133,89948.9,8.0,15780.0,86751.133,89948.9,49.09514250062421
210,Main-Kinzig-Kreis,20092.0,1014.72,0.0,182951.501,1231440.437,6368.612999999999,262435.0,472861.834,1231440.437,27.745185935975318
211,Main-Spessart,6446.02,29.9,0.0,233243.825,6017.52,24264.57,94026.0,358010.31500000006,6017.52,98.34696157232042
212,Main-Tauber-Kreis,10610.5,0.0,0.0,234704.654,11463.52,26886.1,279673.5,551874.754,11463.52,97.96507346845033
213,Main-Taunus-Kreis,29516.5,210.0,0.0,43045.028,43714.211,88.0,0.0,72859.52799999999,43714.211,62.500807321621544
214,Mainz,2079.0,1940.75,0.0,38109.09,956595.333,0.0,10600.0,52728.84,956595.333,5.224172908023674
