"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE987060459316";"BAGDHaWa";"In Betrieb";"2/14/2022";"3/27/2022";"Speicher";"5,12";"3,68";"16348";"Wandlitz";"(natürliche Person)";"ABR919202765344";"4/8/2022"
"SEE962286781250";"PV-Speicher Nicodem";"In Betrieb";"2/15/2022";"2/15/2022";"Speicher";"4,6";"4,6";"16359";"Biesenthal";"(natürliche Person)";"ABR984313519513";"2/15/2022"
"SEE968597540630";"C000046228_FT_Speicher";"In Betrieb";"2/15/2022";"2/28/2022";"Speicher";"2,5";"2,5";"16356";"Werneuchen";"(natürliche Person)";"ABR922658052685";"3/22/2022"
"SEE919497711996";"WILL01";"In Betrieb";"2/16/2022";"2/18/2022";"Wind";"5500";"5500";"16356";"Werneuchen";"Phase 5 GmbH & Co. Windkraft IV KG";"ABR965748344666";"2/23/2022"
"SEE983731149340";"Kosel Speicher";"In Betrieb";"2/16/2022";"2/16/2022";"Speicher";"4,2";"4,2";"16348";"Wandlitz";"(natürliche Person)";"ABR982682494042";"5/5/2022"
"SEE941024884132";"C000011906_IL_Speicher";"In Betrieb";"2/17/2022";"2/18/2022";"Speicher";"5";"5";"16321";"Bernau";"(natürliche Person)";"ABR960115144368";"2/18/2022"
"SEE997176229161";"Stromspeicher";"In Betrieb";"2/18/2022";"3/1/2022";"Speicher";"3";"3";"16248";"Lunow-Stolzenhagen";"(natürliche Person)";"ABR915500051196";"3/1/2022"
"SEE964536800292";"Batteriespeicher 5.1 kW";"In Betrieb";"2/21/2022";"2/21/2022";"Speicher";"2,66";"2,66";"16341";"Panketal";"(natürliche Person)";"ABR972065484722";"2/21/2022"
"SEE963500811456";"C000047066_VR_Speicher";"In Betrieb";"2/22/2022";"2/24/2022";"Speicher";"5";"5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR963419351210";"2/24/2022"
"SEE951137279602";"Speicher";"In Betrieb";"2/22/2022";"4/3/2022";"Speicher";"2,25";"2,25";"16225";"Eberswalde";"(natürliche Person)";"ABR922993338581";"5/5/2022"
"SEE974551484360";"C000044198_TF_Speicher";"In Betrieb";"2/23/2022";"2/24/2022";"Speicher";"5";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR968622292015";"2/24/2022"
"SEE967557134391";"Stromspeicher";"In Betrieb";"2/23/2022";"2/25/2022";"Speicher";"3,75";"3,75";"16356";"Werneuchen";"(natürliche Person)";"ABR910928354744";"2/25/2022"
"SEE925967464422";"Speicher Jonas";"In Betrieb";"2/23/2022";"3/23/2022";"Speicher";"4,6";"4,6";"16321";"Bernau";"(natürliche Person)";"ABR987826114237";"5/19/2022"
"SEE960179201267";"HWR";"In Betrieb";"2/24/2022";"2/25/2022";"Speicher";"2,5";"2,5";"16348";"Wandlitz";"(natürliche Person)";"ABR933362011301";"2/25/2022"
"SEE954286559984";"Halle";"In Betrieb";"2/24/2022";"3/8/2022";"Speicher";"68,5";"68,5";"16348";"Wandlitz";"M+R Filtermedien GmbH";"ABR950888545103";"3/8/2022"
