AGS,Name,newbuilding_renewables_2016,newbuilding_renewables_2017,newbuilding_renewables_2018,newbuilding_renewables_2019
12061,Dahme-Spreewald,24.2,31.06,35.62,32.18
12062,Elbe-Elster,55.88,55.56,62.04,59.55
12063,Havelland,30.71,36.94,40.28,38.93
12064,Märkisch-Oderland,26.56,37.7,46.34,39.12
12065,Oberhavel,26.21,32.73,39.93,38.99
12066,Oberspreewald-Lausitz,45.88,57.65,64.49,57.83
12067,Oder-Spree,17.11,29.17,29.93,32.13
12068,Ostprignitz-Ruppin,26.96,40.32,45.74,36.17
12069,Potsdam-Mittelmark,36.54,43.27,44.73,42.39
12070,Prignitz,41.54,46.48,37.1,50.0
12071,Spree-Neiße,56.08,55.91,62.8,66.43
12072,Teltow-Fläming,32.98,32.14,42.57,46.65
12073,Uckermark,28.45,35.0,36.49,35.2
13003,"Rostock, Stadt",18.11,22.73,33.04,13.56
13004,"Schwerin, Stadt",11.9,30.77,12.61,5.04
13071,Mecklenburgische Seenplatte,27.14,27.95,26.91,28.5
13072,Landkreis Rostock,24.57,30.63,37.45,36.85
13073,Vorpommern-Rügen,18.57,26.96,24.74,24.73
13074,Nordwestmecklenburg,25.35,38.9,40.94,35.31
13075,Vorpommern-Greifswald,31.55,35.18,34.88,37.74
13076,Ludwigslust-Parchim,33.7,30.8,33.45,35.79
14511,"Chemnitz, Stadt",41.56,43.25,46.67,44.44
14521,Erzgebirgskreis,50.34,48.28,47.75,60.87
14522,Mittelsachsen,49.01,49.4,51.2,54.64
14523,Vogtlandkreis,50.6,47.15,58.61,52.17
14524,Zwickau,46.85,50.0,54.29,58.45
14612,"Dresden, Stadt",27.96,40.15,43.01,35.76
14625,Bautzen,50.7,50.39,55.8,54.03
14626,Görlitz,55.3,57.14,50.45,50.91
14627,Meißen,53.94,63.47,61.7,66.9
14628,Sächsische Schweiz-Osterzgebirge,48.15,54.68,52.61,54.96
14713,"Leipzig, Stadt",46.0,48.23,44.41,49.54
14729,Leipzig,40.48,54.72,54.68,58.99
14730,Nordsachsen,44.09,64.39,64.09,63.55
15001,"Dessau-Roßlau, Stadt",32.5,35.19,26.67,35.0
15002,"Halle (Saale), Stadt",44.74,35.48,50.0,50.0
15003,"Magdeburg, Stadt",45.08,58.47,60.08,48.15
15081,Altmarkkreis Salzwedel,30.26,44.58,50.0,53.19
15082,Anhalt-Bitterfeld,64.67,55.15,60.37,68.78
15083,Börde,38.95,48.6,52.94,56.27
15084,Burgenlandkreis,64.95,60.0,76.77,81.63
15085,Harz,29.95,36.21,37.45,39.04
15086,Jerichower Land,42.25,60.94,59.06,62.89
15087,Mansfeld-Südharz,56.96,52.24,52.78,56.67
15088,Saalekreis,57.39,60.09,69.42,70.5
15089,Salzlandkreis,42.4,46.34,62.6,57.96
15090,Stendal,31.34,47.66,50.46,53.68
15091,Wittenberg,43.24,53.45,57.52,44.21
16051,"Erfurt, Stadt",44.74,43.84,45.9,55.56
16052,"Gera, Stadt",35.62,35.29,35.14,48.0
16053,"Jena, Stadt",27.91,37.93,36.96,36.92
16054,"Suhl, Stadt",35.81,67.55,55.3,32.56
16055,"Weimar, Stadt",37.5,43.33,34.62,53.33
16056,"Eisenach, Stadt",30.77,44.83,15.0,15.79
16061,Eichsfeld,23.29,29.65,32.92,23.56
16062,Nordhausen,48.48,32.84,48.0,50.65
16063,Wartburgkreis,58.33,52.07,61.9,54.55
16064,Unstrut-Hainich-Kreis,46.97,39.83,44.37,39.68
16065,Kyffhäuserkreis,32.61,54.35,43.9,55.56
16066,Schmalkalden-Meiningen,48.57,50.93,53.2,52.94
16067,Gotha,47.62,50.56,56.8,47.62
16068,Sömmerda,51.79,53.95,67.09,57.58
16069,Hildburghausen,58.46,57.14,52.31,57.97
16070,Ilm-Kreis,41.38,46.51,62.41,50.72
16071,Weimarer Land,57.43,56.74,53.79,56.69
16072,Sonneberg,42.54,40.93,44.55,34.29
16073,Saalfeld-Rudolstadt,46.25,47.37,47.14,54.17
16074,Saale-Holzland-Kreis,45.9,65.75,67.07,55.68
16075,Saale-Orla-Kreis,42.86,39.53,55.56,50.0
16076,Greiz,61.9,56.9,57.35,66.67
16077,Altenburger Land,36.21,50.85,56.67,44.0
