,AGS,Name,Bundesland,mobility_car_density,mobility_ev_hybrid,mobility_rank,mobility_third,mobility_pc_km_umweltfreundlich_2002,mobility_pc_km_umweltfreundlich_2017
96,5316,Leverkusen,Nordrhein-Westfalen,56.22181127976027,2.4272052047286863,83,besten Drittel,16.5324459466038,21.401120709362583
97,5334,Städteregion Aachen,Nordrhein-Westfalen,53.91585365196445,1.9269840642531613,65,besten Drittel,16.5324459466038,21.401120709362583
98,5358,Düren,Nordrhein-Westfalen,62.60088240475913,1.7505650914079864,200,mittleren Drittel,16.5324459466038,21.401120709362583
99,5362,Rhein-Erft-Kreis,Nordrhein-Westfalen,60.75619157813986,1.8476724497818353,152,mittleren Drittel,16.5324459466038,21.401120709362583
100,5366,Euskirchen,Nordrhein-Westfalen,69.70791110471954,2.300964042300759,383,schlechtesten Drittel,16.5324459466038,21.401120709362583
101,5370,Heinsberg,Nordrhein-Westfalen,63.714741430706226,1.7185044094988116,233,mittleren Drittel,16.5324459466038,21.401120709362583
102,5374,Oberbergischer Kreis,Nordrhein-Westfalen,66.4238037559688,1.7962528670463622,314,schlechtesten Drittel,16.5324459466038,21.401120709362583
103,5378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,65.07908506186735,2.4397644560013267,269,schlechtesten Drittel,16.5324459466038,21.401120709362583
104,5382,Rhein-Sieg-Kreis,Nordrhein-Westfalen,62.50923872875093,1.9198244808000904,199,mittleren Drittel,16.5324459466038,21.401120709362583
105,5512,Bottrop,Nordrhein-Westfalen,59.514453035094746,1.4772698212443847,131,besten Drittel,16.5324459466038,21.401120709362583
106,5513,Gelsenkirchen,Nordrhein-Westfalen,48.07554800365977,1.3070588868471433,27,besten Drittel,16.5324459466038,21.401120709362583
107,5515,Münster,Nordrhein-Westfalen,47.67164075753903,1.9448370069842909,25,besten Drittel,16.5324459466038,21.401120709362583
108,5554,Borken,Nordrhein-Westfalen,61.603342773474104,1.5230926543570087,172,mittleren Drittel,16.5324459466038,21.401120709362583
