,AGS,Name,Bundesland,buildings_anteil_erneuerbare_2016,buildings_anteil_erneuerbare_2020,buildings_rank,buildings_third,buildings_heating_2002,buildings_heating_2020
164,7137,Mayen-Koblenz,Rheinland-Pfalz,31.818181818181817,56.259659969088105,124,besten Drittel,146.97,129.72
165,7138,Neuwied,Rheinland-Pfalz,28.196721311475407,51.44717800289436,165,mittleren Drittel,146.97,129.72
166,7140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,42.458100558659204,55.27950310559007,132,besten Drittel,146.97,129.72
167,7141,Rhein-Lahn-Kreis,Rheinland-Pfalz,50.39370078740158,56.43153526970954,121,besten Drittel,146.97,129.72
168,7143,Westerwaldkreis,Rheinland-Pfalz,42.950108459869845,54.279015240328256,141,mittleren Drittel,146.97,129.72
169,7211,Trier,Rheinland-Pfalz,61.6504854368932,33.99999999999999,280,schlechtesten Drittel,146.97,129.72
170,7231,Bernkastel-Wittlich,Rheinland-Pfalz,68.2983682983683,82.83582089552239,6,besten Drittel,146.97,129.72
171,7232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,75.44378698224851,85.34278959810875,1,besten Drittel,146.97,129.72
172,7233,Vulkaneifel,Rheinland-Pfalz,56.86274509803922,84.24657534246575,3,besten Drittel,146.97,129.72
173,7235,Trier-Saarburg,Rheinland-Pfalz,73.20388349514563,83.77952755905511,4,besten Drittel,146.97,129.72
174,7311,Frankenthal (Pfalz),Rheinland-Pfalz,5.147058823529411,39.39393939393939,243,mittleren Drittel,146.97,129.72
175,7312,Kaiserslautern,Rheinland-Pfalz,28.75,24.583333333333336,327,schlechtesten Drittel,146.97,129.72
176,7313,Landau in der Pfalz,Rheinland-Pfalz,8.928571428571427,36.61971830985915,262,mittleren Drittel,146.97,129.72
177,7314,Ludwigshafen am Rhein,Rheinland-Pfalz,11.589403973509938,15.973741794310717,359,schlechtesten Drittel,146.97,129.72
178,7315,Mainz,Rheinland-Pfalz,3.6093418259023355,17.147192716236724,354,schlechtesten Drittel,146.97,129.72
179,7316,Neustadt an der Weinstraße,Rheinland-Pfalz,8.421052631578949,30.4,295,schlechtesten Drittel,146.97,129.72
