Kennziffer;Raumeinheit;Aggregat;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"40,78";"35,81";"41,70";"55,97";"26,76";"40,08";"41,72"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"37,61";"39,14";"48,86";"56,65";"33,47";"43,91";"54,57"
"05512";"Bottrop, Stadt";"kreisfreie Stadt";"55,77";"60,53";"57,89";"37,59";"48,45";"62,98";"49,28"
"05513";"Gelsenkirchen, Stadt";"kreisfreie Stadt";"34,86";"12,17";"30,97";"57,47";"25,46";"43,67";"68,99"
"05515";"Münster, Stadt";"kreisfreie Stadt";"22,75";"22,44";"18,75";"21,36";"11,42";"13,06";"17,62"
"05554";"Borken";"Landkreis";"21,98";"25,16";"31,28";"38,83";"17,91";"29,63";"37,61"
"05558";"Coesfeld";"Landkreis";"30,60";"48,48";"51,93";"48,42";"49,00";"49,00";"41,46"
"05562";"Recklinghausen";"Landkreis";"24,31";"27,08";"43,20";"35,50";"18,59";"31,80";"25,52"
"05566";"Steinfurt";"Landkreis";"17,99";"24,32";"27,42";"26,67";"21,10";"28,25";"26,58"
"05570";"Warendorf";"Landkreis";"23,41";"26,27";"35,31";"38,38";"18,54";"34,25";"33,14"
"05711";"Bielefeld, Stadt";"kreisfreie Stadt";"37,34";"46,28";"52,33";"51,60";"26,96";"35,86";"38,65"
"05754";"Gütersloh";"Landkreis";"37,73";"41,61";"44,54";"50,92";"26,42";"37,77";"42,43"
"05758";"Herford";"Landkreis";"41,20";"41,70";"51,52";"48,52";"39,79";"44,98";"44,98"
"05762";"Höxter";"Landkreis";"36,09";"40,28";"53,01";"44,87";"43,50";"52,10";"48,68"
"05766";"Lippe";"Landkreis";"34,82";"43,94";"43,21";"53,87";"24,55";"34,41";"41,55"
"05770";"Minden-Lübbecke";"Landkreis";"34,43";"46,17";"47,07";"50,13";"37,48";"41,83";"51,31"
"05774";"Paderborn";"Landkreis";"39,58";"50,69";"58,30";"58,18";"43,61";"55,99";"57,83"
"05911";"Bochum, Stadt";"kreisfreie Stadt";"41,81";"31,75";"24,56";"44,35";"22,77";"26,33";"35,67"
"05913";"Dortmund, Stadt";"kreisfreie Stadt";"31,64";"26,58";"26,50";"36,72";"21,29";"19,09";"18,68"
