,AGS,Name,energy_rank,energy_third,mobility_rank,mobility_third,agriculture_rank,agriculture_third,buildings_rank,buildings_third,waste_rank,waste_third,cumulative_rank
113,5711,Bielefeld,14.0,schlechtesten Drittel,56,besten Drittel,176.0,mittleren Drittel,222,mittleren Drittel,247.0,mittleren Drittel,715.0
334,10041,Regionalverband Saarbrücken,16.0,schlechtesten Drittel,123,besten Drittel,143.0,mittleren Drittel,192,mittleren Drittel,241.5,mittleren Drittel,715.5
204,8128,Main-Tauber-Kreis,9.0,mittleren Drittel,360,schlechtesten Drittel,116.0,besten Drittel,60,besten Drittel,171.0,mittleren Drittel,716.0
216,8235,Calw,9.0,mittleren Drittel,324,schlechtesten Drittel,246.0,mittleren Drittel,5,besten Drittel,134.0,mittleren Drittel,718.0
178,7315,Mainz,8.0,mittleren Drittel,18,besten Drittel,6.0,besten Drittel,354,schlechtesten Drittel,334.0,schlechtesten Drittel,720.0
196,8116,Esslingen,9.0,mittleren Drittel,224,mittleren Drittel,194.0,mittleren Drittel,115,besten Drittel,181.0,mittleren Drittel,723.0
388,15087,Mansfeld-Südharz,7.0,mittleren Drittel,149,mittleren Drittel,47.0,besten Drittel,169,mittleren Drittel,351.0,schlechtesten Drittel,723.0
214,8226,Rhein-Neckar-Kreis,9.0,mittleren Drittel,285,schlechtesten Drittel,87.0,besten Drittel,111,besten Drittel,231.0,mittleren Drittel,723.0
175,7312,Kaiserslautern,8.0,mittleren Drittel,40,besten Drittel,62.0,besten Drittel,327,schlechtesten Drittel,287.0,schlechtesten Drittel,724.0
402,16064,Unstrut-Hainich-Kreis,3.0,besten Drittel,86,besten Drittel,44.0,besten Drittel,290,schlechtesten Drittel,301.0,schlechtesten Drittel,724.0
362,13073,Vorpommern-Rügen,1.0,besten Drittel,76,besten Drittel,70.0,besten Drittel,341,schlechtesten Drittel,238.0,mittleren Drittel,726.0
293,9477,Kulmbach,6.0,mittleren Drittel,391,schlechtesten Drittel,233.0,mittleren Drittel,83,besten Drittel,14.0,besten Drittel,727.0
400,16062,Nordhausen,3.0,besten Drittel,112,besten Drittel,166.0,mittleren Drittel,258,mittleren Drittel,188.0,mittleren Drittel,727.0
290,9474,Forchheim,6.0,mittleren Drittel,341,schlechtesten Drittel,144.0,mittleren Drittel,143,mittleren Drittel,94.0,besten Drittel,728.0
150,6535,Vogelsbergkreis,10.0,mittleren Drittel,371,schlechtesten Drittel,248.0,mittleren Drittel,8,besten Drittel,91.0,besten Drittel,728.0
299,9564,Nürnberg,6.0,mittleren Drittel,31,besten Drittel,58.0,besten Drittel,310,schlechtesten Drittel,324.0,schlechtesten Drittel,729.0
